No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,22,22,2650,31408
1,2020,2,9,13,2650,31408
2,2020,2,13,19,2650,31408
3,2020,2,18,3,2650,31408
4,2020,2,3,11,2650,31408
5,2020,2,14,6,2650,31408
6,2020,2,5,14,2650,31408
7,2020,2,12,13,2650,31408
8,2020,2,6,9,2650,31408
9,2020,2,24,15,2650,31408
10,2020,2,20,18,2650,31408
11,2020,2,19,13,2650,31408
12,2020,2,8,8,2650,31408
13,2020,2,23,6,2650,31408
14,2020,2,7,1,2650,31408
15,2020,2,2,23,2650,31408
16,2020,2,21,23,2650,31408
17,2020,2,4,16,2650,31408
18,2020,2,25,1,2650,31408
19,2020,2,10,12,2650,31408
