No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,9,16,3160,40665
1,2020,2,13,5,3160,40665
2,2020,2,24,21,3160,40665
3,2020,2,22,2,3160,40665
4,2020,2,3,0,3160,40665
5,2020,2,12,21,3160,40665
6,2020,2,8,20,3160,40665
7,2020,2,25,8,3160,40665
8,2020,2,21,18,3160,40665
9,2020,2,2,19,3160,40665
10,2020,2,7,0,3160,40665
11,2020,2,20,22,3160,40665
12,2020,2,17,14,3160,40665
13,2020,2,6,2,3160,40665
14,2020,2,23,14,3160,40665
15,2020,2,5,18,3160,40665
16,2020,2,4,16,3160,40665
17,2020,2,18,9,3160,40665
18,2020,2,14,3,3160,40665
19,2020,2,10,7,3160,40665
20,2020,2,19,11,3160,40665
