No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,21,17,4860,26388
1,2020,2,13,0,4860,26388
2,2020,2,24,5,4860,26388
3,2020,2,2,10,4860,26388
4,2020,2,8,19,4860,26388
5,2020,2,12,15,4860,26388
6,2020,2,6,9,4860,26388
7,2020,2,9,0,4860,26388
8,2020,2,3,14,4860,26388
9,2020,2,14,10,4860,26388
10,2020,2,19,21,4860,26388
11,2020,2,4,19,4860,26388
12,2020,2,7,16,4860,26388
13,2020,2,20,14,4860,26388
14,2020,2,10,14,4860,26388
15,2020,2,25,5,4860,26388
16,2020,2,22,17,4860,26388
17,2020,2,5,18,4860,26388
18,2020,2,23,5,4860,26388
