No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,5,1,2090,66756
1,2020,2,23,0,1800,125206
2,2020,2,3,6,2150,60200
3,2020,2,8,4,2090,66756
4,2020,2,2,13,2150,60200
5,2020,2,13,11,2120,60200
6,2020,2,4,5,2090,66756
7,2020,2,21,21,2090,66756
8,2020,2,2,15,2090,66756
9,2020,2,6,4,2090,66756
10,2020,2,24,17,1700,125206
11,2020,2,12,14,1800,125206
12,2020,2,7,16,2120,60200
13,2020,2,13,11,2090,66756
14,2020,2,13,1,1800,125206
15,2020,2,24,22,2090,66756
16,2020,2,4,21,2120,60200
17,2020,2,9,22,2090,66756
18,2020,2,3,5,1800,125206
19,2020,2,24,9,2120,60200
20,2020,2,6,18,2120,60200
21,2020,2,8,16,2120,60200
22,2020,2,4,17,1800,125206
23,2020,2,5,5,2120,60200
24,2020,2,19,14,1800,125206
25,2020,2,10,6,2090,66756
26,2020,2,8,22,1800,125206
27,2020,2,20,15,2120,60200
28,2020,4,2,3,1980,77645
29,2020,2,19,12,2120,60200
30,2020,2,22,17,2120,60200
31,2020,2,14,10,2120,60200
32,2020,2,3,17,2120,60200
33,2020,2,25,8,2090,66756
34,2020,2,6,20,1800,125206
35,2020,2,22,4,2090,66756
36,2020,2,23,15,2090,66756
37,2020,2,17,18,2120,60200
38,2020,2,9,6,1800,125206
39,2020,2,5,10,1800,125206
40,2020,2,23,21,1700,125206
41,2020,2,21,18,1800,125206
42,2020,2,18,10,2120,60200
43,2020,2,12,11,2090,66756
44,2020,2,2,10,1800,125206
45,2020,2,14,0,2090,66756
46,2020,2,18,3,1800,125206
47,2020,2,21,19,2120,60200
48,2020,2,7,8,1800,125206
49,2020,2,23,5,2120,60200
50,2020,2,9,20,2120,60200
51,2020,2,3,19,2090,66756
52,2020,2,10,0,2120,60200
53,2020,2,20,6,2090,66756
54,2020,2,7,17,2090,66756
55,2020,2,14,9,1800,125206
56,2020,2,20,14,1800,125206
57,2020,2,12,15,2120,60200
58,2020,2,10,10,1800,125206
59,2020,2,17,15,2090,66756
60,2020,2,22,0,1800,125206
61,2020,2,18,6,2090,66756
62,2020,2,25,8,2120,60200
63,2020,2,25,3,1700,125206
64,2020,2,19,12,2090,66756
