No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,13,15,1350,176987
1,2020,2,23,12,1350,176987
2,2020,2,24,14,1350,176987
3,2020,2,2,18,1450,176987
4,2020,2,6,14,1350,176987
5,2020,2,8,10,1350,176987
6,2020,2,25,3,1350,176987
7,2020,2,14,6,1350,176987
8,2020,2,18,5,1350,176987
9,2020,2,4,23,1450,176987
10,2020,2,9,6,1350,176987
11,2020,2,22,6,1350,176987
12,2020,2,21,11,1350,176987
13,2020,2,10,10,1350,176987
14,2020,2,7,20,1350,176987
15,2020,2,20,17,1350,176987
16,2020,2,5,17,1350,176987
17,2020,2,12,16,1350,176987
18,2020,4,3,15,1150,176987
19,2020,2,3,13,1450,176987
20,2020,5,6,7,990,176987
21,2020,4,9,12,1150,176987
22,2020,4,2,4,1250,176987
23,2020,2,19,12,1350,176987
24,2020,4,23,2,1150,176987
25,2020,2,17,20,1350,176987
26,2020,2,27,12,1350,176987
