No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,6,14,3290,93400
1,2020,2,13,5,3350,77272
2,2020,2,21,8,3350,77272
3,2020,2,22,3,3350,77272
4,2020,2,12,21,3290,93400
5,2020,2,12,23,3350,77272
6,2020,2,8,16,3290,93400
7,2020,2,6,11,3400,77272
8,2020,2,9,4,3290,93400
9,2020,2,13,1,3290,93400
10,2020,2,20,15,3350,77272
11,2020,2,2,10,3400,77272
12,2020,2,25,9,3290,93400
13,2020,2,2,13,3290,93400
14,2020,2,4,12,3290,93400
15,2020,2,3,6,3290,93400
16,2020,2,23,5,3350,77272
17,2020,2,24,20,3350,77272
18,2020,2,25,5,3350,77272
19,2020,2,3,23,3400,77272
20,2020,2,21,20,3290,93400
21,2020,2,10,12,3350,77272
22,2020,2,14,7,3290,93400
23,2020,2,17,21,3350,77272
24,2020,2,5,19,3290,93400
25,2020,2,19,17,3290,93400
26,2020,2,18,9,3350,77272
27,2020,2,8,0,3400,77272
28,2020,2,18,8,3290,93400
29,2020,2,8,9,3350,77272
30,2020,2,10,0,3290,93400
31,2020,2,7,10,3400,77272
32,2020,2,14,6,3350,77272
33,2020,2,7,5,3290,93400
34,2020,2,27,12,3350,77272
35,2020,2,9,10,3350,77272
36,2020,2,4,5,3400,77272
37,2020,2,19,23,3350,77272
38,2020,2,20,20,3290,93400
39,2020,2,22,11,3290,93400
40,2020,4,3,15,3250,77272
41,2020,4,2,5,3250,77272
42,2020,2,23,11,3290,93400
43,2020,2,24,11,3290,93400
44,2020,4,9,10,3290,93400
45,2020,2,5,20,3400,77272
46,2020,5,6,7,3090,93400
