No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,22,17,4480,3120
1,2020,2,23,4,4480,3120
2,2020,2,20,19,4450,5511
3,2020,2,10,13,4450,5511
4,2020,2,3,4,4450,5511
5,2020,2,12,11,4450,5511
6,2020,2,6,5,4450,5511
7,2020,2,13,20,4450,5511
8,2020,2,8,4,4450,5511
9,2020,2,7,8,4450,5511
10,2020,2,25,8,4450,5511
11,2020,2,13,3,4480,3120
12,2020,2,12,15,4480,3120
13,2020,2,18,3,4480,3120
14,2020,2,9,8,4450,5511
15,2020,2,22,17,4450,5511
16,2020,2,2,17,4450,5511
17,2020,2,24,8,4480,3120
18,2020,2,20,4,4480,3120
19,2020,2,19,15,4480,3120
20,2020,2,5,14,4450,5511
21,2020,2,21,21,4480,3120
22,2020,2,4,20,4450,5511
23,2020,2,19,14,4450,5511
24,2020,2,21,17,4450,5511
25,2020,2,14,3,4450,5511
26,2020,2,23,7,4450,5511
27,2020,2,14,2,4480,3120
28,2020,2,25,3,4480,3120
29,2020,4,2,5,4460,3120
30,2020,2,17,20,4450,5511
31,2020,3,25,11,4250,5511
32,2020,2,17,14,4480,3120
