No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,7,2,4799,16503
1,2020,2,22,16,4699,40720
2,2020,2,13,7,4799,39306
3,2020,2,17,14,4699,40720
4,2020,2,12,19,4699,40720
5,2020,2,12,18,4799,16503
6,2020,2,6,7,4699,40720
7,2020,2,24,10,4699,40720
8,2020,2,21,16,4699,40720
9,2020,2,25,2,4799,39306
10,2020,2,23,16,4699,40720
11,2020,2,7,23,4699,40720
12,2020,4,9,10,4750,16503
13,2020,2,8,21,4799,16503
14,2020,2,24,14,4799,39306
15,2020,2,4,2,4799,16503
16,2020,2,18,8,4799,16503
17,2020,2,3,16,4699,40720
18,2020,2,13,7,4699,40720
19,2020,2,9,15,4799,39306
20,2020,2,20,10,4699,40720
21,2020,2,10,16,4699,40720
22,2020,2,4,17,4699,40720
23,2020,2,10,4,4799,39306
24,2020,2,22,4,4799,16503
25,2020,2,24,14,4799,16503
26,2020,2,25,3,4699,40720
27,2020,2,21,11,4799,16503
28,2020,2,4,13,4799,39306
29,2020,2,3,22,4799,16503
30,2020,2,23,0,4799,16503
31,2020,4,3,13,4749,39306
32,2020,2,2,15,4899,39306
33,2020,4,3,15,4750,16503
34,2020,2,13,20,4799,16503
35,2020,2,12,15,4799,39306
36,2020,2,20,3,4799,39306
37,2020,2,5,13,4699,40720
38,2020,2,14,4,4799,39306
39,2020,2,7,8,4799,39306
40,2020,2,5,7,4799,39306
41,2020,2,21,17,4799,39306
42,2020,2,23,10,4799,39306
43,2020,2,8,10,4699,40720
44,2020,2,9,20,4699,40720
45,2020,2,19,12,4699,40720
46,2020,2,9,23,4799,16503
47,2020,2,14,0,4699,40720
48,2020,2,19,10,4799,39306
49,2020,2,8,22,4799,39306
50,2020,2,6,2,4799,39306
51,2020,4,2,3,4749,39306
52,2020,2,25,1,4799,16503
53,2020,2,18,7,4699,40720
54,2020,3,25,11,4799,39306
55,2020,2,5,8,4799,16503
56,2020,2,22,4,4799,39306
57,2020,5,6,7,4750,16503
58,2020,2,2,22,4799,16503
59,2020,2,2,8,4699,40720
60,2020,2,18,8,4799,39306
61,2020,2,3,5,4899,39306
62,2020,2,20,6,4799,16503
63,2020,2,17,14,4799,16503
64,2020,2,3,23,4799,39306
65,2020,2,14,4,4799,16503
66,2020,2,4,7,4699,40720
67,2020,4,3,14,5090,29459
68,2020,2,10,9,4799,16503
69,2020,2,6,16,4799,16503
70,2020,2,17,18,4799,39306
71,2020,4,2,4,4750,16503
72,2020,4,2,3,5090,29459
73,2020,2,19,12,4799,16503
