No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,13,19,1599,40482
1,2020,2,4,19,1620,40482
2,2020,2,12,5,1599,40482
3,2020,2,24,11,1550,40482
4,2020,4,3,14,1490,40482
5,2020,2,22,14,1550,40482
6,2020,2,2,13,1670,40482
7,2020,2,25,10,1550,40482
8,2020,2,4,0,1670,40482
9,2020,2,20,5,1550,40482
10,2020,2,8,23,1620,40482
11,2020,2,19,20,1550,40482
12,2020,2,17,19,1599,40482
13,2020,2,21,3,1550,40482
14,2020,2,3,11,1670,40482
15,2020,2,14,7,1599,40482
16,2020,2,23,17,1550,40482
17,2020,2,6,1,1620,40482
18,2020,2,5,13,1620,40482
19,2020,2,18,8,1599,40482
20,2020,2,7,6,1620,40482
21,2020,2,9,6,1620,40482
22,2020,2,10,12,1599,40482
23,2020,2,9,19,1599,40482
24,2020,5,7,0,1400,40482
25,2020,4,9,11,1490,40482
26,2020,3,25,12,1490,40482
27,2020,4,2,5,1490,40482
