No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,7,17,2500,135000
1,2020,2,4,19,2500,135000
2,2020,2,20,13,2500,135000
3,2020,2,8,12,2500,135000
4,2020,2,6,2,2500,135000
5,2020,2,24,17,2500,135000
6,2020,2,12,20,2500,135000
7,2020,2,22,11,2500,135000
8,2020,2,13,14,2500,135000
9,2020,2,18,5,2500,135000
10,2020,2,9,5,2500,135000
11,2020,2,19,17,2500,135000
12,2020,2,21,2,2500,135000
13,2020,2,14,7,2500,135000
14,2020,2,5,0,2500,135000
15,2020,2,10,10,2500,135000
16,2020,2,23,16,2500,135000
17,2020,2,17,14,2500,135000
18,2020,2,25,2,2500,135000
