No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,18,9,3200,54583
1,2020,2,5,4,3200,54583
2,2020,2,4,17,3200,54583
3,2020,2,12,21,3350,48808
4,2020,2,22,12,3350,48808
5,2020,2,20,7,3350,48808
6,2020,2,9,12,3200,54583
7,2020,2,8,8,3200,54583
8,2020,2,7,19,3350,48808
9,2020,2,12,21,3200,54583
10,2020,2,20,2,3200,54583
11,2020,2,23,2,3200,54583
12,2020,2,9,17,3350,48808
13,2020,2,22,20,3200,54583
14,2020,2,10,1,3200,54583
15,2020,2,21,7,3350,48808
16,2020,2,8,18,3350,48808
17,2020,2,14,2,3200,54583
18,2020,2,6,7,3200,54583
19,2020,2,25,4,3350,48808
20,2020,2,7,7,3200,54583
21,2020,2,10,13,3350,48808
22,2020,2,23,7,3350,48808
23,2020,2,4,13,3390,48808
24,2020,2,6,6,3390,48808
25,2020,2,14,6,3350,48808
26,2020,2,13,6,3200,54583
27,2020,2,13,4,3350,48808
28,2020,2,19,14,3200,54583
29,2020,2,18,8,3350,48808
30,2020,2,24,18,3200,54583
31,2020,2,2,9,3200,54583
32,2020,2,2,20,3390,48808
33,2020,2,3,23,3200,54583
34,2020,2,3,9,3390,48808
35,2020,2,21,1,3200,54583
36,2020,3,25,13,3350,48808
37,2020,2,17,12,3350,48808
38,2020,2,5,15,3390,48808
39,2020,2,24,13,3350,48808
40,2020,4,2,5,3350,48808
41,2020,2,7,4,3390,48808
42,2020,2,19,14,3350,48808
43,2020,2,17,14,3200,54583
44,2020,2,25,2,3200,54583
