No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,18,4,3870,5000
1,2020,2,24,3,3900,5000
2,2020,2,21,22,3900,5000
3,2020,2,25,9,3900,5000
4,2020,2,13,22,3950,5000
5,2020,2,3,6,3950,5000
6,2020,2,21,4,3870,5000
7,2020,2,20,22,3870,5000
8,2020,2,22,7,3900,5000
9,2020,2,14,6,3870,5000
10,2020,2,6,14,3950,5000
11,2020,2,2,11,3950,5000
12,2020,2,10,5,3950,5000
13,2020,2,5,1,3950,5000
14,2020,2,12,11,3950,5000
15,2020,2,23,21,3900,5000
16,2020,2,8,12,3950,5000
17,2020,2,9,9,3950,5000
18,2020,2,7,10,3950,5000
19,2020,2,4,4,3950,5000
20,2020,2,19,17,3870,5000
