No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,9,6,2250,33679
1,2020,2,10,1,2250,33679
2,2020,2,3,20,2250,33679
3,2020,2,22,7,2250,33679
4,2020,2,5,12,2250,33679
5,2020,2,6,11,2250,33679
6,2020,2,13,14,2250,33679
7,2020,2,12,17,2250,33679
8,2020,2,19,18,2250,33679
9,2020,2,4,9,2250,33679
10,2020,2,8,23,2250,33679
11,2020,2,25,0,2190,33679
12,2020,2,7,0,2250,33679
13,2020,2,24,15,2190,33679
14,2020,4,2,4,2100,33679
15,2020,2,2,12,2250,33679
16,2020,2,18,9,2250,33679
17,2020,2,17,13,2250,33679
18,2020,2,23,18,2190,33679
19,2020,2,21,4,2250,33679
20,2020,4,3,14,1899,80879
21,2020,2,14,2,2250,33679
22,2020,4,3,13,2100,33679
23,2020,2,20,5,2250,33679
24,2020,3,25,13,2100,33679
25,2020,2,23,6,2250,33679
