No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,24,7,2390,67539
1,2020,2,3,8,2450,67539
2,2020,2,8,1,2450,67539
3,2020,2,9,20,2450,67539
4,2020,2,19,20,2450,67539
5,2020,2,7,12,2450,67539
6,2020,2,21,22,2390,67539
7,2020,2,22,19,2390,67539
8,2020,2,25,6,2390,67539
9,2020,4,9,10,2390,67539
10,2020,2,17,19,2450,67539
11,2020,2,5,1,2450,67539
12,2020,4,3,13,2390,67539
13,2020,2,20,2,2450,67539
14,2020,2,13,12,2450,67539
15,2020,2,4,4,2450,67539
16,2020,2,14,6,2450,67539
17,2020,2,12,17,2450,67539
18,2020,2,10,8,2450,67539
19,2020,2,23,15,2390,67539
20,2020,2,2,22,2450,67539
21,2020,3,25,11,2390,67539
22,2020,4,2,3,2390,67539
23,2020,2,6,6,2450,67539
