No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,20,5,1980,107189
1,2020,2,3,7,1980,107189
2,2020,2,4,20,1980,107189
3,2020,2,10,18,1980,107189
4,2020,2,6,8,1980,107189
5,2020,2,14,4,1980,107189
6,2020,2,24,9,1980,107189
7,2020,2,12,13,1980,107189
8,2020,2,23,0,1980,107189
9,2020,2,8,21,1980,107189
10,2020,2,13,4,1980,107189
11,2020,2,9,7,1980,107189
12,2020,2,7,2,1980,107189
13,2020,2,2,22,1980,107189
14,2020,2,19,21,1980,107189
15,2020,2,5,7,1980,107189
16,2020,3,25,12,1830,107189
17,2020,2,21,12,1980,107189
18,2020,4,2,3,1830,107189
19,2020,4,3,14,1830,107189
20,2020,2,22,12,1980,107189
21,2020,2,17,18,1980,107189
