No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,24,13,1850,106153
1,2020,2,7,10,1850,106153
2,2020,2,6,23,1850,106153
3,2020,2,3,10,1850,106153
4,2020,2,8,9,1850,106153
5,2020,2,2,13,1850,106153
6,2020,2,18,6,1850,106153
7,2020,2,10,14,1850,106153
8,2020,2,17,13,1850,106153
9,2020,2,13,3,1850,106153
10,2020,2,5,19,1850,106153
11,2020,2,22,3,1850,106153
12,2020,2,20,15,1850,106153
13,2020,2,14,1,1850,106153
14,2020,4,2,4,1850,106153
15,2020,2,4,16,1850,106153
16,2020,2,12,13,1850,106153
17,2020,2,19,18,1850,106153
18,2020,4,3,14,1850,106153
19,2020,2,9,1,1850,106153
20,2020,2,23,12,1850,106153
21,2020,3,25,11,1850,106153
22,2020,2,25,3,1850,106153
23,2020,2,21,13,1850,106153
