No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,7,6,4150,17892
1,2020,2,7,19,3990,39236
2,2020,2,22,5,4150,17892
3,2020,2,5,21,3990,39236
4,2020,2,9,0,3990,39236
5,2020,2,21,0,4150,17892
6,2020,2,12,7,3990,39236
7,2020,2,21,22,3990,39236
8,2020,2,22,20,3990,39236
9,2020,2,13,6,3990,39236
10,2020,2,3,1,3990,39236
11,2020,2,8,8,4150,17892
12,2020,2,18,8,3990,39236
13,2020,2,9,0,4150,17892
14,2020,2,13,19,4150,17892
15,2020,2,12,10,4150,17892
16,2020,2,5,2,4150,17892
17,2020,2,2,21,4150,17892
18,2020,2,24,11,4150,17892
19,2020,2,8,14,3990,39236
20,2020,2,19,18,4150,17892
21,2020,2,2,18,3990,39236
22,2020,2,10,7,3990,39236
23,2020,2,3,19,4150,17892
24,2020,2,17,20,3990,39236
25,2020,2,10,9,4150,17892
26,2020,2,4,5,4150,17892
27,2020,2,23,21,4150,17892
28,2020,2,6,21,3990,39236
29,2020,2,25,0,3990,39236
30,2020,2,14,1,4150,17892
31,2020,2,4,5,3990,39236
32,2020,2,25,8,4150,17892
33,2020,2,24,1,3990,39236
34,2020,2,23,17,3990,39236
35,2020,2,6,15,4150,17892
36,2020,2,17,13,4150,17892
37,2020,2,19,10,3990,39236
38,2020,2,14,1,3990,39236
39,2020,2,18,8,4150,17892
