No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,10,15,1130,102555
1,2020,2,8,15,1130,102555
2,2020,2,19,9,1130,102555
3,2020,2,7,12,1130,102555
4,2020,2,3,15,1130,102555
5,2020,2,12,17,1130,102555
6,2020,4,2,3,1140,102555
7,2020,2,24,3,1130,102555
8,2020,2,25,10,1130,102555
9,2020,2,20,18,1130,102555
10,2020,2,6,3,1130,102555
11,2020,2,2,10,1160,102555
12,2020,2,18,4,1130,102555
13,2020,2,4,1,1130,102555
14,2020,2,13,23,1130,102555
15,2020,2,21,2,1130,102555
16,2020,2,22,5,1130,102555
17,2020,2,9,13,1130,102555
18,2020,2,14,4,1130,102555
19,2020,2,5,0,1130,102555
20,2020,2,3,1,1160,102555
21,2020,2,23,20,1130,102555
22,2020,4,3,12,1140,102555
23,2020,2,17,21,1130,102555
24,2020,3,25,11,1140,102555
