No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,18,4,1890,65448
1,2020,2,13,3,1890,65448
2,2020,2,20,9,1890,65448
3,2020,2,12,15,1890,65448
4,2020,2,21,14,1890,65448
5,2020,2,10,8,1890,65448
6,2020,3,25,11,1830,65448
7,2020,5,6,9,1730,65448
8,2020,2,19,15,1890,65448
9,2020,2,22,5,1890,65448
10,2020,2,23,9,1890,65448
11,2020,5,10,23,1730,65448
12,2020,2,24,15,1890,65448
13,2020,4,3,13,1830,65448
14,2020,2,14,8,1890,65448
15,2020,4,9,12,1770,65448
16,2020,2,25,8,1890,65448
17,2020,2,17,19,1890,65448
