No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,6,21,3880,58203
1,2020,2,13,16,3880,58203
2,2020,2,2,20,3880,58203
3,2020,2,4,10,3880,58203
4,2020,2,23,4,3880,58203
5,2020,2,22,3,3880,58203
6,2020,2,9,6,3880,58203
7,2020,2,10,17,3880,58203
8,2020,2,8,18,3880,58203
9,2020,2,5,16,3880,58203
10,2020,2,21,3,3880,58203
11,2020,2,7,4,3880,58203
12,2020,2,19,12,3880,58203
13,2020,2,24,20,3880,58203
14,2020,2,25,10,3880,58203
15,2020,2,20,0,3880,58203
16,2020,2,12,4,3880,58203
17,2020,2,3,6,3880,58203
18,2020,2,18,6,3880,58203
19,2020,2,14,4,3880,58203
