No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,3,5,2360,151771
1,2020,2,23,12,2360,151771
2,2020,2,7,23,2360,151771
3,2020,2,25,5,2360,151771
4,2020,2,20,9,2360,151771
5,2020,2,22,8,2360,151771
6,2020,2,19,20,2360,151771
7,2020,2,10,12,2360,151771
8,2020,2,24,22,2360,151771
9,2020,4,3,13,2350,153530
10,2020,2,13,2,2360,151771
11,2020,2,9,13,2360,151771
12,2020,2,8,15,2360,151771
13,2020,2,12,22,2360,151771
14,2020,4,9,11,2350,153530
15,2020,2,6,12,2360,151771
16,2020,2,2,13,2360,151771
17,2020,2,4,14,2360,151771
18,2020,2,18,9,2360,151771
19,2020,2,21,11,2360,151771
20,2020,4,2,5,2350,153530
21,2020,2,5,4,2360,151771
22,2020,2,14,3,2360,151771
