No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,10,9,2379,159684
1,2020,2,8,10,2379,159684
2,2020,2,9,2,2379,159684
3,2020,2,12,4,2379,159684
4,2020,2,19,16,2379,159684
5,2020,2,5,17,2399,159684
6,2020,2,13,23,2379,159684
7,2020,2,7,15,2379,159684
8,2020,2,2,21,2459,159684
9,2020,2,22,16,2379,159684
10,2020,2,2,10,2590,118244
11,2020,2,23,5,2379,159684
12,2020,2,20,17,2379,159684
13,2020,2,3,16,2399,159684
14,2020,2,13,17,2590,118244
15,2020,2,4,5,2399,159684
16,2020,4,3,15,3150,38988
17,2020,2,20,14,2590,118244
18,2020,2,24,12,2790,46435
19,2020,2,24,9,2590,118244
20,2020,2,9,6,2590,118244
21,2020,2,25,7,2790,46435
22,2020,2,23,3,2590,118244
23,2020,2,10,7,2590,118244
24,2020,2,7,13,2590,118244
25,2020,2,24,13,2379,159684
26,2020,5,6,8,3030,38988
27,2020,2,18,5,2590,118244
28,2020,2,6,23,2379,159684
29,2020,2,6,12,2590,118244
30,2020,2,14,8,2379,159684
31,2020,2,21,22,2379,159684
32,2020,2,3,3,2459,159684
33,2020,2,17,12,2379,159684
34,2020,2,21,4,2590,118244
35,2020,2,12,15,2590,118244
36,2020,2,22,22,2590,118244
37,2020,2,8,2,2590,118244
38,2020,2,4,5,2590,118244
39,2020,2,3,17,2590,118244
40,2020,2,25,7,2379,159684
41,2020,2,14,7,2590,118244
42,2020,4,9,11,2150,169500
43,2020,2,6,0,2399,159684
44,2020,2,18,5,2379,159684
45,2020,4,2,4,2450,101000
46,2020,2,27,12,2590,118244
47,2020,4,2,4,3150,38988
48,2020,4,9,10,2450,101000
49,2020,4,3,15,2450,101000
50,2020,2,5,22,2590,118244
51,2020,4,2,6,2600,118244
52,2020,2,17,14,2590,118244
53,2020,2,19,15,2590,118244
54,2020,2,25,0,2590,118244
55,2020,4,3,13,2600,118244
