No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,21,18,470,90799
1,2020,4,2,5,470,90799
2,2020,2,22,21,470,90799
3,2020,2,8,13,550,90799
4,2020,2,6,6,550,90799
5,2020,2,13,18,470,90799
6,2020,2,12,12,550,90799
7,2020,2,7,4,550,90799
8,2020,2,24,12,470,90799
9,2020,2,9,18,550,90799
10,2020,2,14,6,470,90799
11,2020,2,19,13,470,90799
12,2020,2,3,11,550,90799
13,2020,2,4,9,550,90799
14,2020,2,23,12,470,90799
15,2020,2,5,1,550,90799
16,2020,2,18,8,470,90799
17,2020,3,25,11,470,90799
18,2020,2,20,5,470,90799
19,2020,2,10,16,550,90799
20,2020,2,25,7,470,90799
21,2020,2,2,15,550,90799
22,2020,4,9,10,470,90799
23,2020,2,13,1,550,90799
