No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,2,22,11200,17728
1,2020,2,3,7,11200,17728
2,2020,2,20,3,11200,17728
3,2020,2,14,3,11200,17728
4,2020,2,6,6,11200,17728
5,2020,2,12,6,11200,17728
6,2020,2,21,20,11200,17728
7,2020,2,10,18,11200,17728
8,2020,2,13,20,11200,17728
9,2020,2,4,0,11200,17728
10,2020,2,24,21,11200,17728
11,2020,2,9,14,11200,17728
12,2020,2,19,17,11200,17728
13,2020,2,25,4,11200,17728
14,2020,2,5,7,11200,17728
15,2020,2,23,23,11200,17728
16,2020,2,22,1,11200,17728
17,2020,2,8,14,11200,17728
18,2020,2,17,14,11200,17728
19,2020,2,7,5,11200,17728
20,2020,2,27,12,11200,17728
21,2020,2,18,5,11200,17728
