No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,9,0,13700,3456
1,2020,2,13,11,13700,3456
2,2020,2,3,4,13700,3456
3,2020,2,4,9,13700,3456
4,2020,2,12,11,13700,3456
5,2020,2,10,9,13700,3456
6,2020,2,22,8,13700,3456
7,2020,2,2,22,13700,3456
8,2020,2,24,21,13700,3456
9,2020,2,6,1,13700,3456
10,2020,2,8,6,13700,3456
11,2020,2,14,6,13700,3456
12,2020,2,21,14,13700,3456
13,2020,2,20,12,13700,3456
14,2020,2,17,14,13700,3456
15,2020,2,25,5,13700,3456
16,2020,2,23,20,13700,3456
17,2020,2,5,2,13700,3456
18,2020,2,7,4,13700,3456
19,2020,3,25,12,13700,3456
20,2020,2,19,20,13700,3456
21,2020,2,18,8,13700,3456
