No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,13,3,16700,22200
1,2020,2,21,23,16300,22200
2,2020,2,5,11,16700,22200
3,2020,2,19,10,16500,22200
4,2020,2,12,14,16700,22200
5,2020,2,22,6,16300,22200
6,2020,3,25,13,14700,48381
7,2020,2,20,18,16500,22200
8,2020,2,25,3,14800,48381
9,2020,2,24,1,16300,22200
10,2020,2,24,21,14800,48381
11,2020,2,23,10,16300,22200
12,2020,2,25,8,16300,22200
13,2020,2,14,1,16700,22200
14,2020,3,25,11,15700,22200
15,2020,2,10,12,16700,22200
16,2020,2,17,12,16500,22200
17,2020,2,4,18,16700,22200
18,2020,4,2,6,14700,48381
19,2020,2,14,6,16500,22200
20,2020,5,6,7,14300,48381
21,2020,2,21,0,16500,22200
22,2020,2,6,6,16700,22200
23,2020,2,8,11,16700,22200
24,2020,2,18,5,16500,22200
25,2020,2,3,20,16700,22200
26,2020,2,7,21,16700,22200
27,2020,2,9,16,16700,22200
28,2020,4,3,15,15500,22200
