No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,10,10,8480,18022
1,2020,2,21,12,8480,18022
2,2020,2,12,8,8480,18022
3,2020,2,8,15,8480,18022
4,2020,2,20,5,8480,18022
5,2020,2,18,8,8480,18022
6,2020,2,9,16,8480,18022
7,2020,2,24,14,8480,18022
8,2020,2,7,2,8480,18022
9,2020,2,5,16,8480,18022
10,2020,2,19,23,8480,18022
11,2020,2,4,21,8480,18022
12,2020,2,3,11,8480,18022
13,2020,2,17,19,8480,18022
14,2020,2,13,17,8480,18022
15,2020,2,14,5,8480,18022
16,2020,2,23,14,8480,18022
17,2020,2,22,1,8480,18022
18,2020,2,25,9,8480,18022
19,2020,2,2,9,8480,18022
20,2020,2,6,5,8480,18022
