No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,12,16,4590,120000
1,2020,2,20,1,4590,120000
2,2020,2,13,22,4590,120000
3,2020,2,25,5,4490,120000
4,2020,2,22,9,4590,120000
5,2020,2,7,3,4550,0
6,2020,2,19,12,4590,120000
7,2020,2,10,16,4590,120000
8,2020,2,22,21,4490,120000
9,2020,2,23,5,4490,120000
10,2020,4,3,12,4190,120000
11,2020,2,21,0,4590,120000
12,2020,4,9,11,4190,120000
13,2020,2,9,4,4550,0
14,2020,2,24,20,4490,120000
15,2020,2,8,20,4550,0
16,2020,2,17,18,4590,120000
17,2020,2,14,5,4590,120000
18,2020,2,10,3,4550,0
19,2020,4,2,4,4290,120000
20,2020,2,6,18,4550,0
21,2020,3,25,10,4290,120000
