No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,13,12,3650,149055
1,2020,2,24,5,3650,149055
2,2020,2,20,12,3650,149055
3,2020,2,12,12,3650,149055
4,2020,2,8,8,3650,149055
5,2020,2,9,20,3650,149055
6,2020,2,5,21,3650,149055
7,2020,2,10,12,3650,149055
8,2020,3,25,12,3550,149055
9,2020,2,14,9,3650,149055
10,2020,2,23,19,3650,149055
11,2020,2,25,4,3650,149055
12,2020,2,3,7,3650,149055
13,2020,2,2,10,3650,149055
14,2020,2,21,20,3650,149055
15,2020,2,19,22,3650,149055
16,2020,2,17,18,3650,149055
17,2020,2,22,15,3650,149055
18,2020,2,4,23,3650,149055
19,2020,2,6,1,3650,149055
20,2020,4,3,14,3550,149055
21,2020,2,7,13,3650,149055
22,2020,4,2,3,3550,149055
