No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,23,7,4380,106000
1,2020,2,22,0,4300,105000
2,2020,2,21,18,4300,105000
3,2020,2,19,18,4380,106000
4,2020,2,9,14,4300,105000
5,2020,2,13,1,4400,106000
6,2020,2,20,15,4380,106000
7,2020,2,10,12,4400,106000
8,2020,2,10,6,4300,105000
9,2020,2,25,8,4380,106000
10,2020,2,7,21,4400,106000
11,2020,2,20,8,4300,105000
12,2020,2,18,4,4300,105000
13,2020,2,13,19,4300,105000
14,2020,2,8,13,4400,106000
15,2020,2,14,1,4400,106000
16,2020,2,12,7,4400,106000
17,2020,2,17,14,4400,106000
18,2020,2,24,7,4380,106000
19,2020,2,6,2,4300,105000
20,2020,2,5,23,4470,106000
21,2020,2,5,17,4300,105000
22,2020,2,2,19,4300,105000
23,2020,2,12,16,4300,105000
24,2020,2,23,4,4300,105000
25,2020,2,9,18,4400,106000
26,2020,2,22,7,4380,106000
27,2020,2,6,0,4470,106000
28,2020,2,7,16,4300,105000
29,2020,2,14,7,4300,105000
30,2020,3,25,13,4380,106000
31,2020,2,25,2,4300,105000
32,2020,2,18,6,4380,106000
33,2020,2,3,9,4300,105000
34,2020,2,8,20,4300,105000
35,2020,2,21,23,4380,106000
36,2020,2,4,16,4300,105000
37,2020,2,18,4,4400,106000
38,2020,2,7,3,4470,106000
39,2020,2,24,4,4300,105000
40,2020,2,17,12,4300,105000
41,2020,2,19,12,4300,105000
