No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,19,21,17600,8400
1,2020,2,14,7,17600,8400
2,2020,2,22,14,17600,8400
3,2020,2,5,4,17600,8400
4,2020,2,13,9,17600,8400
5,2020,2,23,14,17600,8400
6,2020,2,3,21,17600,8400
7,2020,2,6,9,17600,8400
8,2020,2,9,18,17600,8400
9,2020,2,12,13,17600,8400
10,2020,2,7,6,17600,8400
11,2020,2,10,11,17600,8400
12,2020,2,2,16,17600,8400
13,2020,2,24,21,17600,8400
14,2020,2,20,21,17600,8400
15,2020,2,4,20,17600,8400
16,2020,4,2,3,16500,11159
17,2020,2,25,5,17600,8400
18,2020,2,17,14,17600,8400
19,2020,2,8,20,17600,8400
20,2020,2,18,8,17600,8400
21,2020,2,21,1,17600,8400
22,2020,3,25,12,16500,11159
23,2020,4,3,15,16500,11159
