No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,13,9,610,123731
1,2020,2,2,8,600,123731
2,2020,2,5,12,610,123731
3,2020,2,22,9,610,123731
4,2020,2,6,4,610,123731
5,2020,2,20,14,610,123731
6,2020,2,23,10,610,123731
7,2020,2,12,13,610,123731
8,2020,2,8,11,610,123731
9,2020,2,21,10,610,123731
10,2020,2,3,1,600,123731
11,2020,2,7,10,610,123731
12,2020,2,18,3,610,123731
13,2020,2,10,12,610,123731
14,2020,2,24,22,610,123731
15,2020,2,4,17,610,123731
16,2020,2,9,9,610,123731
17,2020,2,14,8,610,123731
18,2020,2,25,8,610,123731
19,2020,2,19,18,610,123731
20,2020,2,17,21,610,123731
21,2020,2,4,7,600,123731
22,2020,3,25,13,610,123731
23,2020,4,2,3,610,123731
