No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,2,13,1950,45053
1,2020,2,24,9,1950,45053
2,2020,2,4,20,1950,45053
3,2020,2,4,2,1790,47000
4,2020,2,12,18,1790,47000
5,2020,2,18,8,1950,45053
6,2020,2,3,14,1950,45053
7,2020,2,9,17,1790,47000
8,2020,2,13,9,1810,60906
9,2020,2,6,21,1790,47000
10,2020,2,21,15,1790,47000
11,2020,2,13,6,1790,47000
12,2020,2,21,12,1810,60906
13,2020,2,12,11,1950,45053
14,2020,2,18,10,1810,60906
15,2020,2,8,12,1790,47000
16,2020,2,18,5,1790,47000
17,2020,2,13,10,1950,45053
18,2020,2,20,10,1810,60906
19,2020,2,20,20,1950,45053
20,2020,2,6,7,1950,45053
21,2020,2,2,16,1790,47000
22,2020,2,5,15,1790,47000
23,2020,2,3,17,1810,60906
24,2020,2,19,15,1790,47000
25,2020,2,10,16,1810,60906
26,2020,2,21,20,1950,45053
27,2020,2,6,10,1810,60906
28,2020,2,9,3,1950,45053
29,2020,2,23,10,1950,45053
30,2020,2,4,9,1810,60906
31,2020,2,10,13,1950,45053
32,2020,2,7,17,1950,45053
33,2020,2,10,17,1790,47000
34,2020,2,2,23,1810,60906
35,2020,2,12,10,1810,60906
36,2020,2,5,15,1950,45053
37,2020,2,25,6,1790,47000
38,2020,2,24,7,1810,60906
39,2020,2,9,6,1810,60906
40,2020,2,7,4,1790,47000
41,2020,2,22,8,1810,60906
42,2020,2,20,15,1790,47000
43,2020,2,17,14,1790,47000
44,2020,2,7,12,1810,60906
45,2020,2,8,1,1810,60906
46,2020,2,8,0,1950,45053
47,2020,2,5,10,1810,60906
48,2020,2,22,10,1790,47000
49,2020,2,25,1,1950,45053
50,2020,2,14,1,1790,47000
51,2020,2,19,19,1810,60906
52,2020,2,14,7,1810,60906
53,2020,2,19,14,1950,45053
54,2020,2,24,5,1790,47000
55,2020,2,3,19,1790,47000
56,2020,2,14,2,1950,45053
57,2020,2,22,23,1950,45053
58,2020,2,23,0,1810,60906
59,2020,2,25,7,1810,60906
60,2020,2,23,12,1790,47000
