No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,21,0,1430,62391
1,2020,2,25,6,1390,62391
2,2020,2,23,22,1690,22576
3,2020,2,18,4,1690,22576
4,2020,2,3,2,1690,22576
5,2020,2,18,8,1430,62391
6,2020,2,6,19,1460,62391
7,2020,2,12,22,1690,22576
8,2020,2,3,17,1460,62391
9,2020,2,20,2,1430,62391
10,2020,2,10,4,1460,62391
11,2020,2,19,18,1690,22576
12,2020,2,13,0,1460,62391
13,2020,2,2,15,1690,22576
14,2020,2,21,14,1690,22576
15,2020,2,8,19,1690,22576
16,2020,2,5,7,1460,62391
17,2020,3,25,12,1390,62391
18,2020,2,6,4,1690,22576
19,2020,2,5,15,1690,22576
20,2020,2,23,7,1430,62391
21,2020,2,4,6,1690,22576
22,2020,2,24,12,1430,62391
23,2020,2,7,2,1460,62391
24,2020,2,24,15,1690,22576
25,2020,2,7,22,1690,22576
26,2020,2,2,18,1460,62391
27,2020,2,9,1,1690,22576
28,2020,2,12,6,1460,62391
29,2020,2,24,13,1390,62391
30,2020,2,4,19,1460,62391
31,2020,2,22,3,1430,62391
32,2020,2,9,7,1460,62391
33,2020,2,19,18,1430,62391
34,2020,4,3,15,1390,62391
35,2020,2,8,21,1460,62391
36,2020,4,2,3,1390,62391
37,2020,4,3,12,1590,31229
38,2020,2,14,2,1690,22576
39,2020,4,9,11,1590,31229
40,2020,2,13,21,1690,22576
41,2020,2,22,17,1690,22576
42,2020,2,10,4,1690,22576
43,2020,2,14,6,1460,62391
44,2020,2,17,14,1690,22576
45,2020,2,25,4,1690,22576
46,2020,2,20,18,1690,22576
