No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,7,17,1870,52650
1,2020,2,18,6,1890,38662
2,2020,2,19,17,1890,38662
3,2020,2,24,7,1890,38662
4,2020,2,13,23,1890,38662
5,2020,2,8,13,1950,38662
6,2020,2,9,11,1870,52650
7,2020,2,2,10,1870,52650
8,2020,2,10,4,1870,52650
9,2020,2,22,2,1890,38662
10,2020,2,14,5,1870,52650
11,2020,2,21,10,1890,38662
12,2020,2,10,9,1950,38662
13,2020,2,5,15,1950,38662
14,2020,2,6,11,1870,52650
15,2020,2,6,12,1950,38662
16,2020,2,23,13,1890,38662
17,2020,2,20,1,1890,38662
18,2020,2,3,5,1870,52650
19,2020,2,4,16,1870,52650
20,2020,2,14,0,1890,38662
21,2020,2,22,1,1870,52650
22,2020,2,9,18,1950,38662
23,2020,2,25,2,1870,52650
24,2020,2,13,17,1870,52650
25,2020,2,19,13,1870,52650
26,2020,2,4,4,1950,38662
27,2020,2,2,13,1950,38662
28,2020,4,2,3,1950,55116
29,2020,2,20,16,1870,52650
30,2020,2,7,9,1950,38662
31,2020,2,25,2,1890,38662
32,2020,2,5,10,1870,52650
33,2020,2,21,0,1870,52650
34,2020,2,12,10,1870,52650
35,2020,2,8,21,1870,52650
36,2020,4,9,11,1950,55116
37,2020,2,13,1,1950,38662
38,2020,3,25,13,1900,55116
39,2020,2,12,13,1950,38662
40,2020,2,17,15,1890,38662
41,2020,2,3,3,1950,38662
42,2020,2,18,10,1870,52650
43,2020,2,23,20,1870,52650
44,2020,2,24,2,1870,52650
45,2020,2,17,18,1870,52650
46,2020,4,3,14,1950,55116
