No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,20,13,1990,82839
1,2020,4,2,4,1990,82839
2,2020,2,9,13,1990,82839
3,2020,2,5,13,1990,82839
4,2020,2,12,15,1990,82839
5,2020,2,27,12,1990,82839
6,2020,2,8,16,1990,82839
7,2020,2,25,2,1990,82839
8,2020,2,6,7,1990,82839
9,2020,2,24,9,1990,82839
10,2020,2,22,17,1990,82839
11,2020,2,3,14,1990,82839
12,2020,2,13,21,1990,82839
13,2020,2,14,8,1990,82839
14,2020,4,23,2,1950,82839
15,2020,2,10,6,1990,82839
16,2020,2,23,15,1990,82839
17,2020,2,21,3,1990,82839
18,2020,2,7,10,1990,82839
19,2020,4,3,13,1990,82839
20,2020,2,2,19,1990,82839
21,2020,4,9,10,1990,82839
22,2020,2,4,19,1990,82839
23,2020,2,19,14,1990,82839
24,2020,2,18,5,1990,82839
