No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,21,1,1730,28974
1,2020,2,20,20,1500,79900
2,2020,2,22,19,1490,28974
3,2020,2,14,10,1730,28974
4,2020,2,4,9,1500,79900
5,2020,2,13,7,1500,79900
6,2020,2,21,23,1490,28974
7,2020,2,18,6,1730,28974
8,2020,2,6,20,1500,79900
9,2020,2,19,20,1730,28974
10,2020,2,12,11,1500,79900
11,2020,2,6,23,1780,28974
12,2020,2,5,4,1500,79900
13,2020,2,24,6,1490,28974
14,2020,2,12,11,1750,28974
15,2020,2,13,18,1750,28974
16,2020,2,7,15,1500,79900
17,2020,2,22,7,1500,79900
18,2020,2,3,8,1500,79900
19,2020,2,10,9,1500,79900
20,2020,2,23,11,1490,28974
21,2020,2,20,13,1730,28974
22,2020,2,10,1,1750,28974
23,2020,2,25,3,1500,79900
24,2020,2,25,6,1490,28974
25,2020,2,9,2,1500,79900
26,2020,2,8,9,1780,28974
27,2020,2,4,8,1780,28974
28,2020,2,2,12,1500,79900
29,2020,2,23,2,1500,79900
30,2020,2,7,13,1780,28974
31,2020,2,14,10,1500,79900
32,2020,2,24,15,1500,79900
33,2020,2,8,7,1500,79900
34,2020,2,3,18,1780,28974
35,2020,2,5,7,1780,28974
36,2020,2,2,19,1780,28974
37,2020,4,2,5,1670,32950
38,2020,2,18,8,1500,79900
39,2020,2,9,21,1750,28974
40,2020,2,21,1,1500,79900
41,2020,2,9,1,1780,28974
42,2020,4,3,13,1670,32950
43,2020,2,17,14,1730,28974
44,2020,2,14,0,1750,28974
45,2020,2,19,10,1500,79900
