No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,6,15,450,140572
1,2020,2,24,6,450,140572
2,2020,2,25,7,450,140572
3,2020,2,13,15,450,140572
4,2020,2,3,2,450,140572
5,2020,2,9,22,450,140572
6,2020,2,10,4,450,140572
7,2020,2,18,9,450,140572
8,2020,2,7,23,450,140572
9,2020,2,21,23,450,140572
10,2020,2,27,12,450,140572
11,2020,2,14,3,450,140572
12,2020,2,2,14,450,140572
13,2020,2,20,21,450,140572
14,2020,2,22,18,450,140572
15,2020,2,12,14,450,140572
16,2020,2,5,11,450,140572
17,2020,2,19,16,450,140572
18,2020,2,8,4,450,140572
19,2020,4,2,5,450,140572
20,2020,2,23,15,450,140572
21,2020,2,4,4,450,140572
