No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,13,14,379,122682
1,2020,2,7,1,379,122682
2,2020,2,2,17,379,122682
3,2020,2,8,2,379,122682
4,2020,2,6,7,379,122682
5,2020,2,22,4,379,122682
6,2020,2,4,0,379,122682
7,2020,2,20,2,379,122682
8,2020,4,3,13,379,122682
9,2020,2,21,9,379,122682
10,2020,2,19,13,379,122682
11,2020,2,14,8,379,122682
12,2020,2,3,1,379,122682
13,2020,2,5,16,379,122682
14,2020,2,12,11,379,122682
15,2020,4,2,4,379,122682
16,2020,2,9,11,379,122682
17,2020,2,25,5,379,122682
18,2020,4,9,10,379,122682
19,2020,3,25,10,379,122682
20,2020,2,10,13,379,122682
21,2020,2,24,19,379,122682
22,2020,2,17,21,379,122682
23,2020,2,23,21,379,122682
