No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,18,10,1460,147485
1,2020,2,9,20,1460,147485
2,2020,2,22,0,1460,147485
3,2020,2,6,16,1460,147485
4,2020,2,3,17,1460,147485
5,2020,2,20,22,1460,147485
6,2020,2,2,20,1460,147485
7,2020,2,23,5,1460,147485
8,2020,4,2,6,1420,147485
9,2020,2,25,3,1460,147485
10,2020,2,5,11,1460,147485
11,2020,2,14,8,1460,147485
12,2020,2,4,23,1460,147485
13,2020,2,7,7,1460,147485
14,2020,2,19,16,1460,147485
15,2020,2,12,19,1460,147485
16,2020,4,9,12,1950,49868
17,2020,2,13,6,1460,147485
18,2020,2,21,17,1460,147485
19,2020,4,3,13,1420,147485
20,2020,2,24,23,1460,147485
21,2020,2,8,7,1460,147485
22,2020,5,6,9,1830,49868
23,2020,2,17,20,1460,147485
24,2020,2,10,19,1460,147485
