No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,9,21,1150,75285
1,2020,2,18,3,1150,75285
2,2020,2,5,11,1150,75285
3,2020,2,4,2,1150,75285
4,2020,2,6,18,1150,75285
5,2020,2,12,7,1150,75285
6,2020,2,19,21,1150,75285
7,2020,2,3,5,1150,75285
8,2020,2,8,9,1150,75285
9,2020,2,13,4,1150,75285
10,2020,5,6,8,1325,35017
11,2020,2,17,18,1150,75285
12,2020,2,23,20,1150,75285
13,2020,2,10,12,1150,75285
14,2020,2,24,2,1150,75285
15,2020,2,25,1,1150,75285
16,2020,2,7,17,1150,75285
17,2020,4,2,5,1150,75285
18,2020,2,21,5,1150,75285
19,2020,4,3,14,1150,75285
20,2020,2,14,5,1150,75285
21,2020,2,2,13,1150,75285
22,2020,2,22,16,1150,75285
23,2020,2,20,21,1150,75285
