No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,2,17,6200,5828
1,2020,2,7,5,6900,11456
2,2020,2,14,9,6900,11456
3,2020,2,4,7,6200,5828
4,2020,2,9,0,6900,11456
5,2020,2,12,18,6900,11456
6,2020,2,3,19,6200,5828
7,2020,2,10,5,6200,5828
8,2020,2,24,7,6200,5828
9,2020,2,23,22,6200,5828
10,2020,2,20,8,6200,5828
11,2020,2,12,21,6200,5828
12,2020,2,13,1,6200,5828
13,2020,2,10,6,6900,11456
14,2020,2,24,10,6900,11456
15,2020,2,21,2,6900,11456
16,2020,2,19,13,6900,11456
17,2020,2,8,6,6200,5828
18,2020,2,14,0,6200,5828
19,2020,2,6,4,6200,5828
20,2020,3,25,13,6900,11456
21,2020,2,22,13,6900,11456
22,2020,2,7,5,6200,5828
23,2020,2,13,13,6900,11456
24,2020,2,8,21,6900,11456
25,2020,2,4,5,6900,11456
26,2020,2,21,6,6200,5828
27,2020,2,9,17,6200,5828
28,2020,2,3,16,6900,11456
29,2020,2,20,20,6900,11456
30,2020,2,18,5,6900,11456
31,2020,2,6,13,6900,11456
32,2020,2,2,14,6900,11456
33,2020,2,19,23,6200,5828
34,2020,2,5,11,6900,11456
35,2020,2,18,6,6200,5828
36,2020,2,25,8,6900,11456
37,2020,2,5,9,6200,5828
38,2020,2,22,18,6200,5828
39,2020,2,17,12,6900,11456
40,2020,2,17,20,6200,5828
41,2020,2,23,21,6900,11456
