No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,14,2,1080,63288
1,2020,2,23,15,1080,63288
2,2020,2,22,1,1080,63288
3,2020,2,8,23,1080,63288
4,2020,2,10,11,1080,63288
5,2020,2,6,15,1080,63288
6,2020,2,20,13,1080,63288
7,2020,2,4,8,1160,63288
8,2020,2,2,16,1160,63288
9,2020,2,3,2,1160,63288
10,2020,2,24,9,1080,63288
11,2020,2,21,18,1080,63288
12,2020,2,13,9,1080,63288
13,2020,2,12,12,1080,63288
14,2020,2,6,0,1160,63288
15,2020,2,25,5,1080,63288
16,2020,2,7,13,1080,63288
17,2020,2,5,5,1160,63288
18,2020,2,9,5,1080,63288
19,2020,2,19,10,1080,63288
20,2020,2,18,9,1080,63288
21,2020,2,17,15,1080,63288
