No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,20,9,890,68398
1,2020,2,22,21,890,68398
2,2020,2,25,1,890,68398
3,2020,2,13,9,890,68398
4,2020,3,25,11,890,68398
5,2020,2,9,11,890,68398
6,2020,2,24,3,890,68398
7,2020,2,17,14,890,68398
8,2020,2,8,6,890,68398
9,2020,2,6,1,890,68398
10,2020,2,14,8,890,68398
11,2020,2,10,17,890,68398
12,2020,2,2,17,890,68398
13,2020,2,3,10,890,68398
14,2020,2,23,11,890,68398
15,2020,2,7,1,890,68398
16,2020,2,5,16,890,68398
17,2020,2,12,14,890,68398
18,2020,2,19,13,890,68398
19,2020,2,4,20,890,68398
20,2020,4,3,15,890,68398
21,2020,2,21,19,890,68398
22,2020,2,18,4,890,68398
