No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,4,20,1020,64647
1,2020,2,14,5,1020,64647
2,2020,2,3,14,1020,64647
3,2020,2,2,14,1020,64647
4,2020,2,21,6,1020,64647
5,2020,2,5,16,1020,64647
6,2020,2,6,13,1020,64647
7,2020,2,9,17,1020,64647
8,2020,2,24,22,1020,64647
9,2020,2,23,1,1020,64647
10,2020,2,10,16,1020,64647
11,2020,2,13,2,1020,64647
12,2020,2,7,22,1020,64647
13,2020,2,12,8,1020,64647
14,2020,2,22,23,1020,64647
15,2020,2,8,0,1020,64647
16,2020,2,20,15,1020,64647
17,2020,2,19,11,1020,64647
18,2020,2,17,19,1020,64647
19,2020,2,18,6,1020,64647
20,2020,2,25,6,1020,64647
