No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,19,21,1150,122584
1,2020,2,20,5,1150,122584
2,2020,2,17,21,1150,122584
3,2020,2,8,3,1150,122584
4,2020,5,6,7,1030,122584
5,2020,2,3,7,1150,122584
6,2020,2,13,12,1150,122584
7,2020,2,6,16,1150,122584
8,2020,2,7,16,1150,122584
9,2020,2,5,9,1150,122584
10,2020,4,3,13,1050,122584
11,2020,2,10,11,1150,122584
12,2020,2,24,1,1150,122584
13,2020,2,27,13,1150,122584
14,2020,2,25,3,1150,122584
15,2020,2,21,6,1150,122584
16,2020,4,2,5,1050,122584
17,2020,2,12,8,1150,122584
18,2020,2,4,3,1150,122584
19,2020,2,9,18,1150,122584
20,2020,2,23,5,1150,122584
21,2020,2,14,3,1150,122584
22,2020,2,22,18,1150,122584
23,2020,2,2,21,1150,122584
24,2020,2,18,5,1150,122584
