No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,13,19,2490,70000
1,2020,2,7,13,2490,70000
2,2020,2,4,5,2490,70000
3,2020,2,22,1,2490,70000
4,2020,2,12,16,2490,70000
5,2020,2,5,15,2490,70000
6,2020,2,14,7,2490,70000
7,2020,2,23,14,2490,70000
8,2020,2,9,3,2490,70000
9,2020,2,21,7,2490,70000
10,2020,2,3,17,2490,70000
11,2020,2,10,16,2490,70000
12,2020,2,6,0,2490,70000
13,2020,2,20,7,2490,70000
14,2020,2,2,14,2490,70000
15,2020,2,19,10,2490,70000
16,2020,2,8,10,2490,70000
17,2020,2,24,20,2490,70000
