No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,22,5,950,135375
1,2020,2,9,22,1230,30050
2,2020,2,3,23,1180,113155
3,2020,2,23,4,1400,71000
4,2020,2,13,17,1230,30050
5,2020,2,3,1,1150,85203
6,2020,2,13,17,1450,71000
7,2020,2,24,13,1430,53812
8,2020,2,5,21,1460,53812
9,2020,2,13,20,1180,113155
10,2020,2,6,16,1180,113155
11,2020,2,9,19,1430,53812
12,2020,2,14,6,1230,30050
13,2020,2,14,7,1330,69601
14,2020,2,5,17,1330,69601
15,2020,2,23,10,930,135375
16,2020,2,9,22,950,135375
17,2020,2,4,5,1200,82694
18,2020,2,13,7,1200,82694
19,2020,2,9,6,1330,69601
20,2020,2,3,6,1260,30050
21,2020,2,22,20,1430,53812
22,2020,2,12,20,1230,30050
23,2020,2,19,21,1200,82694
24,2020,2,13,11,1430,53812
25,2020,2,14,3,1200,82694
26,2020,2,23,7,1200,82694
27,2020,2,12,17,950,135375
28,2020,2,20,18,1430,53812
29,2020,2,9,6,1150,85203
30,2020,2,10,12,1150,85203
31,2020,2,8,4,950,135375
32,2020,2,10,3,1230,30050
33,2020,2,23,6,1150,85203
34,2020,2,12,15,1430,53812
35,2020,2,12,10,1330,69601
36,2020,2,2,14,1180,113155
37,2020,2,18,10,950,135375
38,2020,2,2,14,1200,82694
39,2020,2,6,16,1460,53812
40,2020,2,3,11,950,135375
41,2020,2,20,5,1150,85203
42,2020,2,21,4,1430,53812
43,2020,2,8,18,1180,113155
44,2020,2,24,21,1230,30050
45,2020,2,12,22,1450,71000
46,2020,2,24,9,1180,113155
47,2020,2,25,8,1400,71000
48,2020,2,22,13,1180,113155
49,2020,2,13,21,1150,85203
50,2020,2,5,9,1260,30050
51,2020,2,2,19,1150,85203
52,2020,2,5,16,950,135375
53,2020,2,2,14,950,135375
54,2020,2,24,22,1400,71000
55,2020,2,14,1,1450,71000
56,2020,2,22,23,1330,69601
57,2020,2,10,1,1200,82694
58,2020,2,12,4,1200,82694
59,2020,2,19,18,1420,71000
60,2020,2,23,6,1430,53812
61,2020,2,25,9,1330,69601
62,2020,2,7,17,1150,85203
63,2020,2,4,12,1460,53812
64,2020,2,22,21,1400,71000
65,2020,4,2,4,1390,53812
66,2020,2,21,1,1420,71000
67,2020,2,3,2,1330,69601
68,2020,2,8,17,1230,30050
69,2020,2,24,16,1150,85203
70,2020,2,20,21,1180,113155
71,2020,2,20,19,1420,71000
72,2020,2,21,9,1150,85203
73,2020,2,10,9,950,135375
74,2020,3,25,13,1430,86264
75,2020,2,23,11,1180,113155
76,2020,2,13,22,1330,69601
77,2020,2,7,19,1180,113155
78,2020,2,7,10,1330,69601
79,2020,2,10,12,1430,53812
80,2020,2,4,16,950,135375
81,2020,2,14,0,1180,113155
82,2020,2,20,8,1200,82694
83,2020,2,7,17,1230,30050
84,2020,2,19,16,1230,30050
85,2020,2,25,3,1430,53812
86,2020,2,17,13,1430,53812
87,2020,2,25,0,1180,113155
88,2020,2,5,19,1180,113155
89,2020,2,2,12,1330,69601
90,2020,2,12,15,1180,113155
91,2020,2,25,4,1200,82694
92,2020,2,27,13,1410,53812
93,2020,2,21,8,1200,82694
94,2020,3,25,12,1450,111805
95,2020,2,19,22,950,135375
96,2020,2,24,21,1390,78223
97,2020,2,12,11,1150,85203
98,2020,4,3,15,1400,53812
99,2020,2,18,7,1430,53812
100,2020,2,3,8,1460,53812
101,2020,2,4,21,1260,30050
102,2020,4,3,14,1430,71339
103,2020,2,8,14,1200,82694
104,2020,2,17,21,1420,71000
105,2020,2,6,10,1200,82694
106,2020,2,2,13,1460,53812
107,2020,2,22,12,1200,82694
108,2020,2,20,0,1230,30050
109,2020,2,21,4,1330,69601
110,2020,2,25,8,1410,53812
111,2020,2,18,7,1180,113155
112,2020,2,4,9,1150,85203
113,2020,2,14,8,1430,53812
114,2020,2,17,19,1200,82694
115,2020,2,8,1,1430,53812
116,2020,2,18,5,1200,82694
117,2020,2,6,3,1150,85203
118,2020,2,7,19,1430,53812
119,2020,4,2,5,1430,86264
120,2020,2,22,17,1150,85203
121,2020,2,4,9,1330,69601
122,2020,2,21,11,1230,30050
123,2020,2,24,12,1200,82694
124,2020,5,27,6,1350,78223
125,2020,2,3,11,1200,82694
126,2020,2,18,7,1230,30050
127,2020,2,19,13,1430,53812
128,2020,4,3,12,1430,86264
129,2020,2,18,10,1420,71000
130,2020,2,17,20,950,135375
131,2020,2,9,16,1200,82694
132,2020,2,6,6,1330,69601
133,2020,2,17,19,1180,113155
134,2020,2,6,8,950,135375
135,2020,2,5,0,1200,82694
136,2020,2,7,16,1200,82694
137,2020,2,13,18,950,135375
138,2020,2,21,17,950,135375
139,2020,2,25,8,930,135375
140,2020,4,2,5,1370,78223
141,2020,2,23,4,1330,69601
142,2020,2,7,2,1460,53812
143,2020,2,17,18,1230,30050
144,2020,2,5,22,1150,85203
145,2020,2,6,6,1260,30050
146,2020,2,20,9,950,135375
147,2020,2,9,16,1180,113155
148,2020,2,23,4,1230,30050
149,2020,4,2,6,1400,53812
150,2020,2,22,0,1230,30050
151,2020,4,2,4,1380,111805
152,2020,2,20,18,1330,69601
153,2020,2,21,12,1400,71000
154,2020,2,14,1,950,135375
155,2020,2,8,7,1330,69601
156,2020,2,21,9,1180,113155
157,2020,2,25,1,1230,30050
158,2020,4,2,6,1430,71339
159,2020,2,7,22,950,135375
160,2020,2,4,14,1180,113155
161,2020,2,17,14,1330,69601
162,2020,2,25,3,1150,85203
163,2020,5,6,8,1250,78223
164,2020,2,19,14,1330,69601
165,2020,3,25,11,1430,71339
166,2020,2,2,20,1260,30050
167,2020,2,14,0,1150,85203
168,2020,2,18,7,1150,85203
169,2020,2,25,5,1390,78223
170,2020,2,8,18,1150,85203
171,2020,4,3,13,1380,111805
172,2020,2,27,13,1330,69601
173,2020,2,18,6,1330,69601
174,2020,2,24,10,930,135375
175,2020,4,3,14,1330,69601
176,2020,5,6,9,1360,53812
177,2020,2,7,0,1260,30050
178,2020,5,6,8,1280,69156
179,2020,4,3,12,1370,78223
180,2020,2,10,6,1330,69601
181,2020,2,10,16,1180,113155
182,2020,2,19,19,1180,113155
183,2020,2,19,14,1150,85203
184,2020,4,2,4,1060,147159
185,2020,4,2,5,1330,69601
186,2020,3,25,11,1370,78223
