No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,22,2,1280,65136
1,2020,2,5,11,1180,74195
2,2020,2,8,6,1500,34238
3,2020,2,20,3,1500,34238
4,2020,2,13,23,1180,74195
5,2020,2,7,2,1500,34238
6,2020,2,18,6,1180,74195
7,2020,2,10,18,1500,34238
8,2020,2,19,10,1500,34238
9,2020,2,12,17,1180,74195
10,2020,2,9,8,1280,65136
11,2020,2,13,10,1280,65136
12,2020,3,25,11,1750,11011
13,2020,2,4,14,1480,49801
14,2020,2,12,19,1500,34238
15,2020,2,13,9,1500,34238
16,2020,2,24,18,1280,65136
17,2020,2,2,14,1180,74195
18,2020,2,23,13,1480,49801
19,2020,2,19,16,1180,74195
20,2020,2,10,1,1280,65136
21,2020,2,9,20,1480,49801
22,2020,2,6,2,1180,74195
23,2020,2,21,14,1280,65136
24,2020,2,20,12,1480,49801
25,2020,2,24,9,1480,49801
26,2020,2,9,0,1500,34238
27,2020,2,6,12,1500,34238
28,2020,2,18,7,1480,49801
29,2020,2,2,14,1520,34238
30,2020,2,14,5,1180,74195
31,2020,2,4,9,1500,34238
32,2020,2,21,11,1180,74195
33,2020,2,12,4,1280,65136
34,2020,2,25,3,1500,34238
35,2020,2,3,11,1280,65136
36,2020,2,17,18,1500,34238
37,2020,2,22,17,1480,49801
38,2020,4,2,4,1750,11011
39,2020,2,21,10,1500,34238
40,2020,2,7,5,1180,74195
41,2020,2,14,1,1500,34238
42,2020,2,25,4,1480,49801
43,2020,2,6,17,1480,49801
44,2020,2,6,14,1280,65136
45,2020,2,24,20,1180,74195
46,2020,2,12,23,1480,49801
47,2020,2,5,22,1500,34238
48,2020,2,13,15,1480,49801
49,2020,2,5,11,1480,49801
50,2020,2,2,22,1480,49801
51,2020,2,10,16,1180,74195
52,2020,2,24,9,1500,34238
53,2020,2,3,1,1520,34238
54,2020,2,10,5,1480,49801
55,2020,2,21,1,1480,49801
56,2020,2,2,18,1280,65136
57,2020,2,20,19,1180,74195
58,2020,4,2,4,1590,63701
59,2020,2,22,5,1500,34238
60,2020,4,3,13,1520,39978
61,2020,2,8,20,1280,65136
62,2020,2,14,2,1280,65136
63,2020,2,3,6,1480,49801
64,2020,2,3,10,1180,74195
65,2020,2,23,17,1280,65136
66,2020,3,25,11,1630,16861
67,2020,2,4,1,1280,65136
68,2020,2,14,0,1480,49801
69,2020,2,5,4,1280,65136
70,2020,2,23,10,1500,34238
71,2020,2,7,17,1280,65136
72,2020,2,7,22,1480,49801
73,2020,2,18,5,1280,65136
74,2020,2,8,1,1180,74195
75,2020,2,19,16,1280,65136
76,2020,2,22,11,1180,74195
77,2020,2,9,12,1180,74195
78,2020,5,6,7,1780,11011
79,2020,2,20,6,1280,65136
80,2020,2,4,4,1180,74195
81,2020,2,17,19,1480,49801
82,2020,2,17,19,1280,65136
83,2020,3,25,13,1520,39978
84,2020,2,23,12,1180,74195
85,2020,2,8,15,1480,49801
86,2020,5,6,8,1590,63701
87,2020,2,19,14,1480,49801
88,2020,2,25,6,1280,65136
89,2020,2,18,6,1500,34238
