No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,12,23,1350,69069
1,2020,2,20,13,1350,69069
2,2020,2,2,19,1370,69069
3,2020,2,7,4,1370,69069
4,2020,2,19,14,1070,107776
5,2020,2,12,21,1190,107776
6,2020,2,23,15,1070,107776
7,2020,2,13,11,1350,69069
8,2020,2,2,22,1190,107776
9,2020,2,13,9,1190,107776
10,2020,2,14,9,1350,69069
11,2020,2,10,4,1190,107776
12,2020,2,9,1,1370,69069
13,2020,2,25,5,1070,107776
14,2020,2,24,11,1070,107776
15,2020,2,8,23,1190,107776
16,2020,2,9,18,1190,107776
17,2020,2,4,19,1190,107776
18,2020,2,24,12,1350,69069
19,2020,2,23,13,1350,69069
20,2020,2,4,22,1370,69069
21,2020,2,8,20,1370,69069
22,2020,2,22,4,1350,69069
23,2020,2,25,2,1350,69069
24,2020,4,9,11,1530,59863
25,2020,2,6,10,1370,69069
26,2020,2,5,0,1190,107776
27,2020,2,9,20,1350,69069
28,2020,2,7,7,1190,107776
29,2020,2,21,0,1070,107776
30,2020,2,20,5,1070,107776
31,2020,2,18,6,1190,107776
32,2020,2,10,7,1350,69069
33,2020,2,5,16,1370,69069
34,2020,2,19,15,1350,69069
35,2020,2,17,19,1350,69069
36,2020,2,21,11,1350,69069
37,2020,2,3,3,1370,69069
38,2020,4,3,12,1530,59863
39,2020,2,22,13,1070,107776
40,2020,2,14,4,1190,107776
41,2020,2,6,23,1190,107776
42,2020,2,3,17,1190,107776
43,2020,5,6,7,1530,59863
44,2020,2,17,21,1190,107776
45,2020,2,18,10,1350,69069
