No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,3,2,350,223781
1,2020,2,20,0,220,204618
2,2020,2,24,19,199,204618
3,2020,2,10,9,220,204618
4,2020,2,13,19,190,194244
5,2020,2,13,7,220,204618
6,2020,2,5,1,350,223781
7,2020,2,23,22,199,204618
8,2020,2,8,5,220,204618
9,2020,2,6,14,220,204618
10,2020,2,4,0,350,223781
11,2020,2,12,4,220,204618
12,2020,2,4,20,190,194244
13,2020,2,9,23,190,194244
14,2020,4,2,4,220,165000
15,2020,2,6,7,350,223781
16,2020,2,5,7,220,204618
17,2020,2,14,4,190,194244
18,2020,2,17,20,220,204618
19,2020,2,3,9,220,204618
20,2020,2,25,5,190,194244
21,2020,2,9,14,220,204618
22,2020,2,9,11,350,223781
23,2020,2,8,18,190,194244
24,2020,2,2,18,190,194244
25,2020,3,25,13,350,223781
26,2020,2,22,18,210,204618
27,2020,2,22,20,350,223781
28,2020,2,5,20,190,194244
29,2020,2,18,8,220,204618
30,2020,2,25,5,199,204618
31,2020,2,21,17,350,223781
32,2020,2,20,14,190,194244
33,2020,2,13,14,350,223781
34,2020,2,19,11,190,194244
35,2020,2,17,12,190,194244
36,2020,2,7,0,220,204618
37,2020,2,12,20,350,223781
38,2020,2,7,19,350,223781
39,2020,4,3,13,220,165000
40,2020,2,2,8,220,204618
41,2020,2,7,1,190,194244
42,2020,2,4,21,220,204618
43,2020,2,14,0,350,223781
44,2020,2,24,1,190,194244
45,2020,2,6,9,190,194244
46,2020,2,12,22,190,194244
47,2020,2,21,23,190,194244
48,2020,2,23,2,210,204618
49,2020,2,10,6,190,194244
50,2020,2,8,19,350,223781
51,2020,2,3,9,190,194244
52,2020,2,2,15,350,223781
53,2020,2,17,21,350,223781
54,2020,2,25,5,350,223781
55,2020,4,23,2,350,223781
56,2020,2,23,9,350,223781
57,2020,2,24,1,350,223781
58,2020,2,20,0,350,223781
59,2020,4,2,5,190,194244
60,2020,2,18,8,350,223781
61,2020,2,10,3,350,223781
62,2020,2,21,5,220,204618
63,2020,2,19,13,350,223781
64,2020,2,23,14,190,194244
65,2020,2,19,17,220,204618
66,2020,2,22,1,190,194244
67,2020,2,14,0,220,204618
68,2020,4,2,6,350,223781
69,2020,4,3,12,190,194244
