No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,5,20,430,143406
1,2020,2,13,9,430,143406
2,2020,2,20,22,430,143406
3,2020,2,19,9,430,143406
4,2020,2,18,6,430,143406
5,2020,2,21,20,430,143406
6,2020,2,6,5,430,143406
7,2020,4,3,14,370,143406
8,2020,2,2,23,430,143406
9,2020,2,14,6,430,143406
10,2020,2,23,4,430,143406
11,2020,2,12,10,430,143406
12,2020,5,6,6,320,141662
13,2020,2,24,9,430,143406
14,2020,2,8,22,430,143406
15,2020,4,9,10,350,141662
16,2020,2,10,6,430,143406
17,2020,2,9,18,430,143406
18,2020,4,3,14,440,108347
19,2020,4,2,3,370,143406
20,2020,2,7,6,430,143406
21,2020,2,25,4,480,108347
22,2020,3,25,13,370,143406
23,2020,2,17,21,430,143406
24,2020,2,22,0,430,143406
25,2020,2,3,21,430,143406
26,2020,5,6,7,350,168000
27,2020,4,2,3,460,108347
28,2020,2,25,0,430,143406
29,2020,4,3,13,350,141662
30,2020,2,4,1,430,143406
31,2020,2,27,12,430,143406
