No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,23,2,710,88900
1,2020,2,3,6,750,88900
2,2020,2,13,21,750,88900
3,2020,2,2,21,750,88900
4,2020,2,6,20,750,88900
5,2020,2,21,20,750,88900
6,2020,2,24,5,710,88900
7,2020,2,17,18,750,88900
8,2020,2,22,3,750,88900
9,2020,2,8,23,750,88900
10,2020,2,10,1,750,88900
11,2020,2,12,7,750,88900
12,2020,2,25,5,710,88900
13,2020,2,4,17,750,88900
14,2020,2,14,3,750,88900
15,2020,2,5,7,750,88900
16,2020,2,22,23,710,88900
17,2020,2,7,2,750,88900
18,2020,2,20,0,750,88900
19,2020,2,9,12,750,88900
20,2020,2,19,15,750,88900
