No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,24,13,750,159538
1,2020,2,12,18,750,159538
2,2020,2,22,13,750,159538
3,2020,2,6,18,750,159538
4,2020,2,17,21,750,159538
5,2020,2,8,12,750,159538
6,2020,2,13,16,750,159538
7,2020,2,20,17,750,159538
8,2020,2,7,22,750,159538
9,2020,2,19,17,750,159538
10,2020,2,25,7,750,159538
11,2020,2,23,5,750,159538
12,2020,2,9,22,750,159538
13,2020,2,2,16,750,159538
14,2020,2,21,20,750,159538
15,2020,2,5,15,750,159538
16,2020,2,4,3,750,159538
17,2020,2,3,7,750,159538
18,2020,2,14,1,750,159538
19,2020,2,10,18,750,159538
