No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,5,5,630,126280
1,2020,2,4,23,600,174291
2,2020,2,13,19,600,174291
3,2020,2,5,18,680,118966
4,2020,2,14,5,660,118966
5,2020,2,6,7,630,126280
6,2020,2,5,16,740,123311
7,2020,2,2,10,630,126280
8,2020,2,12,5,620,122613
9,2020,2,5,22,600,174291
10,2020,2,12,5,630,126280
11,2020,2,7,8,680,118966
12,2020,2,12,19,740,123311
13,2020,2,8,3,600,174291
14,2020,2,7,2,630,126280
15,2020,2,21,14,620,122613
16,2020,2,25,0,600,174291
17,2020,2,20,3,740,123311
18,2020,2,10,1,680,118966
19,2020,2,13,0,660,118966
20,2020,2,10,9,620,122613
21,2020,2,4,19,620,122613
22,2020,2,18,9,660,118966
23,2020,2,23,18,740,123311
24,2020,2,22,17,660,118966
25,2020,2,3,13,600,174291
26,2020,2,13,12,740,123311
27,2020,2,13,3,630,126280
28,2020,2,24,8,660,118966
29,2020,2,10,4,740,123311
30,2020,2,3,12,740,123311
31,2020,2,6,8,680,118966
32,2020,2,8,5,620,122613
33,2020,2,17,18,620,122613
34,2020,2,3,13,680,118966
35,2020,2,13,2,620,122613
36,2020,2,8,15,680,118966
37,2020,2,7,3,740,123311
38,2020,2,6,8,620,122613
39,2020,2,23,13,660,118966
40,2020,5,27,6,700,123311
41,2020,2,24,1,740,123311
42,2020,2,22,20,600,174291
43,2020,2,2,15,680,118966
44,2020,2,5,22,620,122613
45,2020,2,22,9,620,122613
46,2020,2,23,16,630,126280
47,2020,2,20,20,600,174291
48,2020,2,9,14,620,122613
49,2020,2,6,13,740,123311
50,2020,2,19,10,600,174291
51,2020,2,3,19,630,126280
52,2020,2,22,5,740,123311
53,2020,2,18,3,740,123311
54,2020,2,3,5,620,122613
55,2020,2,23,1,620,122613
56,2020,2,7,20,620,122613
57,2020,2,12,10,600,174291
58,2020,2,21,7,600,174291
59,2020,2,24,12,630,126280
60,2020,2,4,23,630,126280
61,2020,2,9,0,600,174291
62,2020,2,12,12,660,118966
63,2020,2,24,20,620,122613
64,2020,2,21,17,630,126280
65,2020,2,20,6,660,118966
66,2020,2,8,17,630,126280
67,2020,2,14,9,600,174291
68,2020,2,9,14,680,118966
69,2020,2,19,12,620,122613
70,2020,2,25,10,660,118966
71,2020,2,21,1,660,118966
72,2020,2,14,7,740,123311
73,2020,2,7,9,600,174291
74,2020,2,9,3,740,123311
75,2020,2,4,7,680,118966
76,2020,2,18,9,620,122613
77,2020,2,14,10,630,126280
78,2020,2,6,20,600,174291
79,2020,2,4,7,740,123311
80,2020,2,2,10,620,122613
81,2020,2,22,18,630,126280
82,2020,2,23,13,600,174291
83,2020,2,19,11,660,118966
84,2020,2,9,10,630,126280
85,2020,3,25,10,720,123311
86,2020,2,10,13,600,174291
87,2020,2,19,12,740,123311
88,2020,2,2,13,600,174291
89,2020,2,20,11,630,126280
90,2020,2,17,19,600,174291
91,2020,2,21,7,740,123311
92,2020,2,8,14,740,123311
93,2020,2,14,3,620,122613
94,2020,2,20,6,620,122613
95,2020,2,17,18,740,123311
96,2020,3,25,12,570,140900
97,2020,2,19,22,630,126280
98,2020,4,9,11,530,140900
99,2020,5,6,6,650,109000
100,2020,4,3,14,550,140900
101,2020,5,6,6,720,75756
102,2020,2,10,17,630,126280
103,2020,2,24,2,600,174291
104,2020,2,25,8,740,123311
105,2020,2,17,14,630,126280
106,2020,2,18,7,600,174291
107,2020,2,25,1,630,126280
108,2020,2,17,18,660,118966
109,2020,5,7,0,720,75756
110,2020,2,25,7,620,122613
111,2020,4,2,4,550,140900
