No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,3,12,570,147643
1,2020,2,4,5,570,147643
2,2020,2,22,6,570,147643
3,2020,2,13,20,570,147643
4,2020,2,10,10,570,147643
5,2020,2,21,5,570,147643
6,2020,2,20,11,570,147643
7,2020,2,8,10,570,147643
8,2020,2,24,21,570,147643
9,2020,2,12,9,570,147643
10,2020,2,7,14,570,147643
11,2020,2,2,17,570,147643
12,2020,2,19,20,570,147643
13,2020,2,18,6,570,147643
14,2020,2,9,19,570,147643
15,2020,4,2,5,460,147643
16,2020,3,25,12,460,147643
17,2020,2,23,14,570,147643
18,2020,2,5,9,570,147643
19,2020,4,3,15,460,147643
20,2020,2,25,3,570,147643
21,2020,2,14,2,570,147643
22,2020,2,6,10,570,147643
23,2020,2,17,19,570,147643
