No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,23,21,999,165033
1,2020,2,20,15,999,165033
2,2020,2,24,8,999,165033
3,2020,2,19,19,1350,59870
4,2020,2,4,7,1350,59870
5,2020,2,21,10,999,165033
6,2020,2,7,0,1050,165033
7,2020,2,4,21,980,167434
8,2020,2,12,18,999,165033
9,2020,2,14,10,980,167434
10,2020,2,23,20,1350,59870
11,2020,2,8,7,1050,165033
12,2020,2,12,11,1350,59870
13,2020,2,3,4,1350,59870
14,2020,2,14,1,999,165033
15,2020,2,13,14,999,165033
16,2020,2,19,22,999,165033
17,2020,2,21,13,1350,59870
18,2020,2,5,8,1050,165033
19,2020,2,9,23,1050,165033
20,2020,2,4,22,1050,165033
21,2020,2,22,0,999,165033
22,2020,2,12,8,980,167434
23,2020,2,2,15,1050,165033
24,2020,2,17,20,999,165033
25,2020,2,22,21,980,167434
26,2020,2,25,6,980,167434
27,2020,2,9,22,980,167434
28,2020,2,5,15,1350,59870
29,2020,2,24,13,1350,59870
30,2020,2,9,4,1350,59870
31,2020,2,24,10,980,167434
32,2020,2,13,9,1350,59870
33,2020,2,10,7,980,167434
34,2020,2,2,23,1350,59870
35,2020,2,5,21,980,167434
36,2020,2,10,7,1050,165033
37,2020,2,8,23,1350,59870
38,2020,2,3,9,1050,165033
39,2020,2,3,10,980,167434
40,2020,2,18,6,999,165033
41,2020,2,20,2,980,167434
42,2020,2,6,14,1050,165033
43,2020,2,25,5,999,165033
44,2020,2,6,16,1350,59870
45,2020,2,8,17,980,167434
46,2020,2,7,15,1350,59870
47,2020,2,22,8,1350,59870
48,2020,2,10,1,1350,59870
49,2020,2,2,13,980,167434
50,2020,2,13,17,980,167434
51,2020,2,7,2,980,167434
52,2020,2,18,9,980,167434
53,2020,2,20,23,1350,59870
54,2020,2,23,4,980,167434
55,2020,2,6,19,980,167434
56,2020,3,25,12,980,167434
57,2020,2,14,10,1350,59870
58,2020,2,27,12,980,167434
59,2020,2,18,5,1350,59870
60,2020,2,25,4,1350,59870
61,2020,2,17,13,1350,59870
62,2020,4,23,2,930,167434
63,2020,2,21,18,980,167434
64,2020,2,19,19,980,167434
