No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,12,13,1880,48102
1,2020,2,23,6,1880,48102
2,2020,2,17,14,1880,48102
3,2020,2,20,20,1880,48102
4,2020,4,2,4,1630,81289
5,2020,2,7,0,1880,48102
6,2020,2,21,13,1880,48102
7,2020,2,6,13,1880,48102
8,2020,2,9,14,1880,48102
9,2020,2,4,7,1880,48102
10,2020,2,8,6,1880,48102
11,2020,2,3,14,1880,48102
12,2020,2,24,9,1880,48102
13,2020,2,5,12,1880,48102
14,2020,2,18,5,1880,48102
15,2020,2,13,1,1880,48102
16,2020,2,22,16,1880,48102
17,2020,5,6,9,1830,48102
18,2020,4,9,11,1880,48102
19,2020,2,25,1,1880,48102
20,2020,4,2,5,1880,48102
21,2020,2,10,12,1880,48102
22,2020,2,19,11,1880,48102
23,2020,2,14,2,1880,48102
24,2020,4,3,15,1630,81289
