No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,17,14,2440,160943
1,2020,2,20,11,2440,160943
2,2020,2,14,1,3470,32353
3,2020,2,12,15,2850,30086
4,2020,2,14,5,2440,160943
5,2020,2,13,0,3470,32353
6,2020,2,12,13,2440,160943
7,2020,2,8,7,3470,32353
8,2020,2,7,9,2850,30086
9,2020,2,12,7,2480,160943
10,2020,2,19,9,2440,160943
11,2020,2,3,12,3450,32353
12,2020,2,21,8,2440,160943
13,2020,2,6,4,2420,160943
14,2020,2,10,2,3470,32353
15,2020,2,9,6,3470,32353
16,2020,2,24,15,3300,32777
17,2020,2,24,17,2990,86284
18,2020,2,23,12,2440,160943
19,2020,2,2,23,3200,61679
20,2020,2,23,6,3470,32353
21,2020,2,20,15,3290,26529
22,2020,2,24,20,2440,160943
23,2020,2,19,16,2850,30086
24,2020,2,19,22,3470,32353
25,2020,2,23,1,3290,26529
26,2020,2,18,10,2990,86284
27,2020,2,4,1,2420,160943
28,2020,2,12,23,3470,32353
29,2020,2,21,21,3290,26529
30,2020,2,14,7,2990,86284
31,2020,2,4,2,2850,30086
32,2020,4,2,3,2990,78501
33,2020,2,7,10,3450,32353
34,2020,2,7,19,3470,32353
35,2020,2,22,11,3470,32353
36,2020,2,23,15,2990,86284
37,2020,2,21,0,3470,32353
38,2020,2,2,23,3420,32353
39,2020,2,13,2,2440,160943
40,2020,4,2,3,3320,27817
41,2020,2,24,19,3290,26529
42,2020,2,13,6,3200,61679
43,2020,2,8,23,2990,86284
44,2020,4,2,4,2950,61679
45,2020,2,2,16,2420,160943
46,2020,2,19,14,3290,26529
47,2020,2,9,14,2480,160943
48,2020,2,22,10,2990,86284
49,2020,2,22,18,3300,32777
50,2020,2,10,6,2480,160943
51,2020,2,21,6,2990,86284
52,2020,4,3,13,2990,78501
53,2020,2,13,14,3330,26529
54,2020,2,8,18,2480,160943
55,2020,2,6,2,3450,32353
56,2020,2,20,11,3200,61679
57,2020,2,13,1,2990,86284
58,2020,2,22,23,2850,30086
59,2020,2,7,23,2480,160943
60,2020,2,23,1,2850,30086
61,2020,2,22,15,3290,26529
62,2020,2,5,12,2850,30086
63,2020,2,25,4,2850,30086
64,2020,2,22,22,2440,160943
65,2020,2,4,12,3450,32353
66,2020,2,3,5,2850,30086
67,2020,2,17,14,3300,32777
68,2020,2,8,17,2850,30086
69,2020,2,2,14,2850,30086
70,2020,2,14,4,3290,26529
71,2020,2,25,7,3200,61679
72,2020,2,20,15,3470,32353
73,2020,2,25,2,2990,86284
74,2020,2,24,23,3470,32353
75,2020,2,9,22,2850,30086
76,2020,2,9,11,3200,61679
77,2020,2,14,1,3330,26529
78,2020,2,22,12,3200,61679
79,2020,2,7,16,3200,61679
80,2020,2,6,12,3200,61679
81,2020,2,23,2,3200,61679
82,2020,2,12,9,3200,61679
83,2020,2,3,20,3200,61679
84,2020,2,18,7,3470,32353
85,2020,2,9,17,2990,86284
86,2020,2,10,6,2850,30086
87,2020,2,8,18,3200,61679
88,2020,2,12,23,2990,86284
89,2020,2,5,4,3450,32353
90,2020,2,20,1,2850,30086
91,2020,2,21,5,3300,32777
92,2020,2,23,9,3300,32777
93,2020,2,18,8,2850,30086
94,2020,2,10,4,2990,86284
95,2020,2,5,23,2420,160943
96,2020,2,14,7,2850,30086
97,2020,2,20,1,2990,86284
98,2020,2,14,9,3200,61679
99,2020,2,25,0,3470,32353
100,2020,2,19,14,3300,32777
101,2020,2,17,19,3290,26529
102,2020,2,3,9,2420,160943
103,2020,4,3,14,2950,61679
104,2020,4,3,12,2900,86284
105,2020,2,5,2,3200,61679
106,2020,2,19,16,2990,86284
107,2020,2,6,21,2850,30086
108,2020,2,24,14,2850,30086
109,2020,4,9,12,2990,78501
110,2020,2,24,10,3200,61679
111,2020,2,25,7,2440,160943
112,2020,2,25,7,3290,26529
113,2020,2,17,18,3200,61679
114,2020,2,13,22,2850,30086
115,2020,2,18,6,2440,160943
116,2020,2,10,18,3200,61679
117,2020,2,4,18,3200,61679
118,2020,2,17,14,2850,30086
119,2020,2,17,14,3470,32353
120,2020,4,2,3,2990,86284
121,2020,4,9,10,2900,86284
122,2020,4,9,11,3500,18000
123,2020,2,19,21,3200,61679
124,2020,2,21,11,3200,61679
125,2020,2,18,8,3290,26529
126,2020,2,25,6,3300,32777
127,2020,2,21,14,2850,30086
128,2020,2,20,22,3300,32777
129,2020,2,18,7,3300,32777
130,2020,2,17,19,2990,86284
131,2020,3,25,12,3020,61679
