No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,14,5,1299,81531
1,2020,2,14,7,1600,78375
2,2020,2,9,15,1420,145624
3,2020,2,13,1,1090,159591
4,2020,2,3,20,1510,72889
5,2020,2,14,4,990,110119
6,2020,2,5,0,1460,58000
7,2020,2,6,19,1299,81531
8,2020,2,10,16,1460,58000
9,2020,2,19,11,990,110119
10,2020,2,8,16,1600,78375
11,2020,2,12,9,1299,81531
12,2020,2,23,2,990,110119
13,2020,2,24,22,1090,159591
14,2020,2,17,19,990,110119
15,2020,2,7,6,1299,81531
16,2020,2,13,21,1299,81531
17,2020,2,7,16,1600,78375
18,2020,2,21,0,1600,78375
19,2020,2,19,21,1510,72889
20,2020,2,21,9,1690,21521
21,2020,2,13,18,1420,145624
22,2020,2,12,4,990,110119
23,2020,2,3,20,1299,81531
24,2020,2,3,5,1350,81531
25,2020,2,3,5,1420,145624
26,2020,2,9,18,1510,72889
27,2020,2,22,4,1090,159591
28,2020,2,5,9,1420,145624
29,2020,2,2,16,1600,78375
30,2020,2,5,2,1299,81531
31,2020,2,7,11,1420,145624
32,2020,2,3,10,1600,78375
33,2020,2,7,13,1510,72889
34,2020,2,7,22,990,110119
35,2020,2,12,11,1600,78375
36,2020,2,9,7,1299,81531
37,2020,2,6,10,990,110119
38,2020,2,5,16,1120,159591
39,2020,2,10,18,1510,72889
40,2020,2,9,4,990,110119
41,2020,2,13,22,1510,72889
42,2020,2,5,16,1600,78375
43,2020,2,3,14,1460,58000
44,2020,2,24,18,1460,58000
45,2020,2,4,11,990,110119
46,2020,2,2,20,1460,58000
47,2020,2,3,16,1120,159591
48,2020,2,21,3,990,110119
49,2020,2,18,8,990,110119
50,2020,2,20,12,990,110119
51,2020,2,17,20,1299,81531
52,2020,2,4,12,1420,145624
53,2020,2,24,7,1600,78375
54,2020,2,23,13,1090,159591
55,2020,2,4,21,1510,72889
56,2020,2,23,20,1460,58000
57,2020,2,20,18,1299,81531
58,2020,2,8,15,1299,81531
59,2020,2,23,11,1690,21521
60,2020,2,20,1,1090,159591
61,2020,2,12,10,1510,72889
62,2020,2,25,10,1690,21521
63,2020,2,6,9,1420,145624
64,2020,2,7,5,1120,159591
65,2020,2,4,4,1600,78375
66,2020,2,8,23,1460,58000
67,2020,2,23,14,1510,72889
68,2020,2,5,10,1510,72889
69,2020,2,2,12,1120,159591
70,2020,2,12,9,1090,159591
71,2020,2,23,17,1600,78375
72,2020,2,22,10,990,110119
73,2020,2,24,10,1299,81531
74,2020,2,22,20,1299,81531
75,2020,2,9,11,1460,58000
76,2020,2,2,16,1510,72889
77,2020,2,18,4,1600,78375
78,2020,2,14,3,1510,72889
79,2020,2,8,7,1510,72889
80,2020,2,9,11,1600,78375
81,2020,2,21,9,1090,159591
82,2020,2,3,17,990,110119
83,2020,2,13,4,1460,58000
84,2020,4,2,6,1600,78375
85,2020,2,12,8,1420,145624
86,2020,2,24,22,1690,21521
87,2020,2,4,15,1460,58000
88,2020,2,10,15,1090,159591
89,2020,2,22,22,1510,72889
90,2020,2,8,19,1120,159591
91,2020,2,14,1,1090,159591
92,2020,4,2,4,890,185786
93,2020,2,21,10,1420,145624
94,2020,2,2,9,1350,81531
95,2020,2,25,7,1460,58000
96,2020,2,6,13,1600,78375
97,2020,2,6,5,1510,72889
98,2020,2,8,0,990,110119
99,2020,2,19,12,1460,58000
100,2020,2,20,22,1600,78375
101,2020,2,6,5,1460,58000
102,2020,2,10,5,990,110119
103,2020,2,9,17,1090,159591
104,2020,2,19,13,1299,81531
105,2020,3,25,11,1600,78375
106,2020,2,4,13,1299,81531
107,2020,2,13,15,990,110119
108,2020,2,21,18,1510,72889
109,2020,2,12,16,1460,58000
110,2020,2,10,0,1420,145624
111,2020,4,3,15,1420,145624
112,2020,2,20,18,1690,21521
113,2020,2,19,14,1600,78375
114,2020,2,6,0,1120,159591
115,2020,2,18,6,1510,72889
116,2020,2,19,16,1420,145624
117,2020,2,20,5,1460,58000
118,2020,2,22,10,1600,78375
119,2020,2,22,17,1420,145624
120,2020,2,25,6,1090,159591
121,2020,2,7,5,1460,58000
122,2020,2,9,0,1120,159591
123,2020,2,14,2,1460,58000
124,2020,4,3,15,1600,78375
125,2020,2,13,4,1600,78375
126,2020,2,24,9,1510,72889
127,2020,2,18,8,1299,81531
128,2020,2,24,23,990,110119
129,2020,2,2,10,990,110119
130,2020,2,2,13,1420,145624
131,2020,2,21,4,1299,81531
132,2020,2,17,13,1510,72889
133,2020,4,2,4,1420,145624
134,2020,2,21,5,1460,58000
135,2020,2,22,13,1460,58000
136,2020,2,22,11,1690,21521
137,2020,2,14,6,1420,145624
138,2020,2,23,11,1299,81531
139,2020,2,4,4,1120,159591
140,2020,2,19,22,1090,159591
141,2020,2,27,13,1420,145624
142,2020,2,8,15,1420,145624
143,2020,2,25,8,1299,81531
144,2020,2,18,9,1420,145624
145,2020,2,23,15,1420,145624
146,2020,2,10,5,1299,81531
147,2020,2,10,14,1600,78375
148,2020,2,17,18,1600,78375
149,2020,2,20,3,1510,72889
150,2020,3,25,10,1420,145624
151,2020,2,24,15,1420,145624
152,2020,2,18,6,1460,58000
153,2020,2,20,19,1420,145624
154,2020,2,5,6,990,110119
155,2020,2,18,3,1090,159591
156,2020,4,3,12,890,185786
157,2020,2,17,18,1090,159591
158,2020,2,25,0,1510,72889
159,2020,2,27,12,1690,21521
160,2020,2,25,7,1600,78375
