No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,23,12,1480,89274
1,2020,2,23,23,1780,59218
2,2020,2,12,19,1499,89274
3,2020,2,22,2,1780,59218
4,2020,2,13,20,1780,59218
5,2020,2,9,3,1720,79320
6,2020,2,7,22,1580,89274
7,2020,2,17,19,1780,59218
8,2020,5,6,9,1590,78381
9,2020,2,25,0,1780,59218
10,2020,2,19,15,1780,59218
11,2020,2,22,11,1480,89274
12,2020,2,5,4,1720,79320
13,2020,2,3,6,1720,79320
14,2020,2,8,12,1580,89274
15,2020,2,12,19,1780,59218
16,2020,2,10,1,1780,59218
17,2020,2,9,15,1580,89274
18,2020,2,3,10,1580,89274
19,2020,2,13,6,1499,89274
20,2020,2,4,21,1720,79320
21,2020,2,7,6,1720,79320
22,2020,2,8,6,1780,59218
23,2020,2,20,20,1480,89274
24,2020,2,21,18,1480,89274
25,2020,2,24,10,1480,89274
26,2020,2,14,9,1780,59218
27,2020,2,19,19,1480,89274
28,2020,2,5,16,1580,89274
29,2020,2,19,19,1720,79320
30,2020,2,14,0,1720,79320
31,2020,2,6,3,1720,79320
32,2020,4,23,2,1720,79320
33,2020,2,22,19,1720,79320
34,2020,2,8,3,1720,79320
35,2020,2,20,1,1720,79320
36,2020,2,9,19,1780,59218
37,2020,2,14,8,1499,89274
38,2020,2,6,2,1580,89274
39,2020,2,24,8,1780,59218
40,2020,2,13,16,1720,79320
41,2020,2,20,19,1780,59218
42,2020,2,25,6,1480,89274
43,2020,2,18,9,1499,89274
44,2020,2,7,23,1780,59218
45,2020,2,24,17,1720,79320
46,2020,2,4,6,1580,89274
47,2020,2,10,13,1580,89274
48,2020,2,17,14,1499,89274
49,2020,2,17,14,1720,79320
50,2020,2,21,6,1780,59218
51,2020,2,12,6,1720,79320
52,2020,2,23,5,1720,79320
53,2020,4,9,12,1720,79320
54,2020,4,3,12,1720,79320
55,2020,2,18,4,1780,59218
56,2020,2,21,18,1720,79320
57,2020,2,2,11,1580,89274
58,2020,4,9,10,1730,51439
59,2020,2,2,21,1720,79320
60,2020,2,10,7,1720,79320
61,2020,4,3,12,1730,51439
62,2020,4,2,4,1420,89274
63,2020,4,2,5,1720,79320
64,2020,4,2,4,1730,51439
