No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,23,13,1420,80173
1,2020,2,7,22,1650,83618
2,2020,2,12,5,1650,83618
3,2020,2,3,15,1420,80173
4,2020,2,13,12,1420,80173
5,2020,2,9,13,1420,80173
6,2020,2,8,4,1420,80173
7,2020,2,24,2,1650,83618
8,2020,2,18,4,1450,80173
9,2020,2,12,5,1420,80173
10,2020,2,17,20,1420,80173
11,2020,2,5,12,1650,83618
12,2020,2,8,21,1650,83618
13,2020,2,13,18,1650,83618
14,2020,2,2,9,1650,83618
15,2020,2,6,22,1420,80173
16,2020,2,4,13,1420,80173
17,2020,2,2,19,1420,80173
18,2020,2,21,21,1420,80173
19,2020,2,9,23,1650,83618
20,2020,2,22,21,1420,80173
21,2020,2,19,17,1420,80173
22,2020,2,5,0,1420,80173
23,2020,2,6,0,1650,83618
24,2020,2,18,9,1650,83618
25,2020,2,19,23,1650,83618
26,2020,2,23,15,1650,83618
27,2020,2,3,14,1650,83618
28,2020,2,22,6,1650,83618
29,2020,2,14,0,1420,80173
30,2020,2,24,1,1420,80173
31,2020,2,20,7,1420,80173
32,2020,2,4,12,1650,83618
33,2020,2,7,5,1420,80173
34,2020,2,14,8,1650,83618
35,2020,2,21,11,1650,83618
36,2020,2,20,7,1650,83618
37,2020,2,10,10,1420,80173
38,2020,2,25,3,1420,80173
39,2020,4,2,3,1360,80173
40,2020,3,25,11,1330,80173
41,2020,5,6,6,1530,60400
