No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,9,2,2220,58392
1,2020,2,8,8,2220,58392
2,2020,2,5,9,2220,58392
3,2020,2,23,17,2220,58392
4,2020,2,6,8,2220,58392
5,2020,2,3,7,2220,58392
6,2020,2,21,9,2220,58392
7,2020,2,2,18,2220,58392
8,2020,2,14,0,2220,58392
9,2020,2,7,9,2220,58392
10,2020,2,22,10,2220,58392
11,2020,2,13,10,2220,58392
12,2020,2,12,14,2220,58392
13,2020,2,10,10,2220,58392
14,2020,2,20,23,2220,58392
15,2020,2,24,22,2220,58392
16,2020,2,17,21,2220,58392
17,2020,2,4,7,2220,58392
18,2020,2,25,2,2220,58392
19,2020,2,19,10,2220,58392
20,2020,2,18,7,2220,58392
21,2020,4,23,2,2300,18409
22,2020,4,9,11,2300,18409
23,2020,5,6,7,1780,0
