No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,22,8,3050,5753
1,2020,2,21,16,2590,7112
2,2020,2,12,20,2590,7112
3,2020,2,13,8,2590,7112
4,2020,2,13,16,3080,5753
5,2020,2,24,11,2590,7112
6,2020,2,4,22,3333,7112
7,2020,2,3,10,3333,7112
8,2020,2,24,8,3050,5753
9,2020,2,8,22,3333,7112
10,2020,2,25,2,2590,7112
11,2020,2,22,3,2590,7112
12,2020,2,23,19,2590,7112
13,2020,2,23,11,3050,5753
14,2020,2,5,5,3333,7112
15,2020,2,12,22,3080,5753
16,2020,2,20,4,3070,5753
17,2020,2,12,12,2690,17003
18,2020,2,24,17,2690,17003
19,2020,2,22,8,2690,17003
20,2020,2,21,12,3050,5753
21,2020,2,6,7,3333,7112
22,2020,4,2,4,2970,5753
23,2020,2,2,11,3333,7112
24,2020,2,23,6,2690,17003
25,2020,2,14,8,2590,7112
26,2020,2,7,16,3333,7112
27,2020,2,9,22,2590,7112
28,2020,2,25,10,2690,17003
29,2020,2,14,6,3080,5753
30,2020,2,19,22,2590,7112
31,2020,2,19,13,3080,5753
32,2020,2,10,16,2590,7112
33,2020,2,19,11,2690,17003
34,2020,4,3,12,2899,9355
35,2020,2,20,8,2690,17003
36,2020,2,14,3,2690,17003
37,2020,2,18,7,2590,7112
38,2020,2,17,14,3080,5753
39,2020,4,3,12,2970,5753
40,2020,2,20,12,2590,7112
41,2020,2,18,8,3080,5753
42,2020,2,17,12,2590,7112
43,2020,2,13,12,2690,17003
44,2020,4,9,11,2899,9355
45,2020,2,21,6,3070,5753
46,2020,2,21,11,2690,17003
47,2020,2,25,7,3050,5753
48,2020,3,25,12,2990,5753
49,2020,2,9,1,3333,7112
50,2020,2,18,10,2690,17003
51,2020,4,2,6,2899,9355
52,2020,2,17,18,2690,17003
